subject,exp_num,RT,modality
1,1,3098,e
1,1,2773,d
1,1,2936.5,EE
2,1,1345.5,e
2,1,1447.5,d
2,1,1736,EE
3,1,942.5,e
3,1,709.5,d
3,1,533.5,EE
4,1,2489,e
4,1,2071,d
4,1,2441,EE
5,1,997.5,e
5,1,870,d
5,1,756,EE
6,1,745,e
6,1,631,d
6,1,520,EE
7,1,1550,e
7,1,1171,d
7,1,1121,EE
8,1,1068,e
8,1,974.5,d
8,1,1081.5,EE
9,1,946,e
9,1,901,d
9,1,749,EE
10,1,1322,e
10,1,1110,d
10,1,1031,EE
11,1,1605,e
11,1,1693,d
11,1,1716,EE
12,1,1450,e
12,1,1155,d
12,1,1177.5,EE
13,1,777,e
13,1,835.5,d
13,1,728,EE
14,1,1762,e
14,1,1803.5,d
14,1,2100,EE
15,1,1918,e
15,1,1757,d
15,1,2042,EE
16,1,1467,e
16,1,1414,d
16,1,1397,EE
17,1,1284,e
17,1,1261,d
17,1,1680.5,EE
18,1,1628,e
18,1,1439,d
18,1,1620,EE
19,1,1581,e
19,1,1071,d
19,1,1374,EE
20,1,1676,e
20,1,1815.5,d
20,1,1869,EE
21,1,2115.5,e
21,1,2106.5,d
21,1,2265,EE
22,1,1203,e
22,1,1208,d
22,1,1281,EE
23,1,1460.5,e
23,1,1327.5,d
23,1,1768.5,EE
24,1,1753,e
24,1,1701.5,d
24,1,2438,EE
25,1,1099,e
25,1,1029,d
25,1,1456.5,EE
26,1,1957.5,e
26,1,2410.5,d
26,1,2332,EE
27,1,1156,e
27,1,1050,d
27,1,1267.5,EE
28,1,1624,e
28,1,1441,d
28,1,1525,EE
29,1,1140.5,e
29,1,1438,d
29,1,1835.5,EE
30,1,1013,e
30,1,1152,d
30,1,1091,EE
31,1,852,e
31,1,1257,d
31,1,945,EE
32,1,906,e
32,1,793,d
32,1,1273.5,EE
33,1,1646,e
33,1,1347,d
33,1,1318,EE
34,1,2161,e
34,1,2564,d
34,1,2559,EE
35,1,2448,e
35,1,2474,d
35,1,2726.5,EE
36,1,1365.5,e
36,1,1495.5,d
36,1,1333.5,EE
37,1,2124.5,e
37,1,1641.5,d
37,1,1923.5,EE
38,1,1476,e
38,1,1308,d
38,1,1658,EE
39,1,1683,e
39,1,1574,d
39,1,1680.5,EE
40,1,1083.5,e
40,1,1182,d
40,1,1043.5,EE
41,1,1605,e
41,1,1509,d
41,1,1548,EE
42,1,1129,e
42,1,1235,d
42,1,1605.5,EE
43,1,2205,e
43,1,1445,d
43,1,4235.5,EE
44,1,1136,e
44,1,1058.5,d
44,1,1207,EE
45,1,2645,e
45,1,2353,d
45,1,2923.5,EE
46,1,1837,e
46,1,1714.5,d
46,1,2093,EE
47,1,2320,e
47,1,2354.5,d
47,1,2434.5,EE
48,1,1221,e
48,1,1310,d
48,1,1581,EE
49,1,1375.5,e
49,1,1167,d
49,1,1654.5,EE
50,1,1124,e
50,1,952,d
50,1,1126,EE
51,1,1993.5,e
51,1,1989,d
51,1,1862.5,EE
52,1,1142,e
52,1,1274,d
52,1,1026,EE
53,1,1378,e
53,1,1075,d
53,1,1345.5,EE
54,1,1032,e
54,1,1004,d
54,1,976,EE
55,1,1656,e
55,1,1581,d
55,1,1764.5,EE
56,1,1564,e
56,1,1260,d
56,1,1472.5,EE
57,1,1181,e
57,1,1202.5,d
57,1,2142.5,EE
58,1,1177,e
58,1,1375,d
58,1,1421.5,EE
59,1,737,e
59,1,610.5,d
59,1,694,EE
60,1,1508,e
60,1,1541.5,d
60,1,1915.5,EE
61,1,1806,e
61,1,1677.5,d
61,1,2022.5,EE
62,1,1403,e
62,1,1327,d
62,1,1721,EE
63,1,1549,e
63,1,2082,d
63,1,4056,EE
64,1,1603.5,e
64,1,1351.5,d
64,1,1497.5,EE
65,1,1334,e
65,1,1293,d
65,1,1192.5,EE
66,1,1159.5,e
66,1,1177,d
66,1,1898,EE
67,1,2060.5,e
67,1,2265.5,d
67,1,1806,EE
68,1,1112,e
68,1,850.5,d
68,1,1173.5,EE
69,1,2037,e
69,1,1906,d
69,1,1837,EE
70,1,1391.5,e
70,1,1179.5,d
70,1,1655,EE
71,1,1871,e
71,1,1670,d
71,1,1905,EE
72,2,1102,e
72,2,1043,d
72,2,867,EE
73,2,2285.5,e
73,2,2035,d
73,2,2294.5,EE
74,2,921,e
74,2,906,d
74,2,669,EE
75,2,1022,e
75,2,793,d
75,2,789,EE
76,2,1109,e
76,2,1021,d
76,2,862,EE
77,2,2194,e
77,2,1928,d
77,2,2050.5,EE
78,2,1006,e
78,2,781,d
78,2,671,EE
79,2,2365,e
