subject,exp_num,slope,modality
1,1,0.8125,0
2,1,0.806818181818182,0
3,1,0.835227272727273,0
4,1,0.801136363636364,0
5,1,0.823863636363636,0
6,1,0.767045454545455,0
7,1,0.806818181818182,0
8,1,0.75,0
9,1,0.715909090909091,0
10,1,0.857954545454545,0
11,1,0.8125,0
12,1,0.840909090909091,0
13,1,0.835227272727273,0
14,1,0.801136363636364,0
15,1,0.880681818181818,0
16,1,0.903409090909091,0
17,1,0.829545454545455,0
18,1,0.806818181818182,0
19,1,0.869318181818182,0
20,1,0.835227272727273,0
21,1,0.8125,0
22,1,0.818181818181818,0
23,1,0.897727272727273,0
24,1,0.852272727272727,0
25,1,0.795454545454545,0
26,1,0.897727272727273,0
27,1,0.892045454545455,0
28,1,0.9375,0
29,1,0.715909090909091,0
30,1,0.835227272727273,0
31,1,0.818181818181818,0
32,1,0.926136363636364,0
33,1,0.909090909090909,0
34,1,0.806818181818182,0
35,1,0.954545454545455,0
36,1,0.892045454545455,0
37,1,0.903409090909091,0
38,1,0.863636363636364,0
39,1,0.857954545454545,0
40,1,0.744318181818182,0
41,1,0.8125,0
42,1,0.835227272727273,0
43,1,0.8125,0
44,1,0.909090909090909,0
45,1,0.863636363636364,0
46,1,0.818181818181818,0
47,1,0.8125,0
48,1,0.863636363636364,0
49,1,0.897727272727273,0
50,1,0.971590909090909,0
51,1,0.863636363636364,0
52,1,0.920454545454545,0
53,1,0.8125,0
54,1,0.892045454545455,0
55,1,0.948863636363636,0
56,1,0.880681818181818,0
57,1,0.857954545454545,0
58,1,0.795454545454545,0
59,1,0.943181818181818,0
60,1,0.806818181818182,0
61,1,0.971590909090909,0
62,1,0.875,0
63,1,0.875,0
64,1,0.920454545454545,0
65,1,0.988636363636364,0
66,1,0.909090909090909,0
67,1,0.892045454545455,0
68,2,0.473214285714286,0
69,2,0.508928571428571,0
70,2,0.607142857142857,0
71,2,0.428571428571429,0
72,2,0.669642857142857,0
73,2,0.660714285714286,0
74,2,0.607142857142857,0
75,2,0.732142857142857,0
76,2,0.517857142857143,0
77,2,0.678571428571429,0
78,2,0.482142857142857,0
79,2,0.741071428571429,0
80,2,0.767857142857143,0
81,2,0.633928571428571,0
82,2,0.839285714285714,0
83,2,0.910714285714286,0
84,2,0.571428571428571,0
85,2,0.6875,0
86,2,0.741071428571429,0
87,2,0.535714285714286,0
88,2,0.491071428571429,0
89,2,0.571428571428571,0
90,2,0.803571428571429,0
91,2,0.6875,0
92,2,0.714285714285714,0
93,2,0.794642857142857,0
94,2,0.794642857142857,0
95,2,0.857142857142857,0
96,2,0.714285714285714,0
97,2,0.732142857142857,0
98,2,0.589285714285714,0
99,2,0.857142857142857,0
100,2,0.830357142857143,0
101,2,0.642857142857143,0
102,2,0.892857142857143,0
103,2,0.803571428571429,0
104,2,0.955357142857143,0
105,2,0.8125,0
106,2,0.705357142857143,0
107,2,0.616071428571429,0
108,2,0.678571428571429,0
109,2,0.732142857142857,0
110,2,0.544642857142857,0
111,2,0.803571428571429,0
112,2,0.723214285714286,0
113,2,0.723214285714286,0
114,2,0.580357142857143,0
115,2,0.75,0
116,2,0.803571428571429,0
117,2,0.9375,0
118,2,0.732142857142857,0
119,2,0.875,0
120,2,0.767857142857143,0
121,2,0.785714285714286,0
122,2,0.821428571428571,0
123,2,0.758928571428571,0
124,2,0.732142857142857,0
125,2,0.723214285714286,0
126,2,0.803571428571429,0
127,2,0.446428571428571,0
128,2,0.955357142857143,0
129,2,0.696428571428571,0
130,2,0.767857142857143,0
131,2,0.866071428571429,0
132,2,0.964285714285714,0
133,2,0.901785714285714,0
134,2,0.732142857142857,0
1,1,0.5,1
2,1,0.4921875,1
3,1,0.4765625,1
4,1,0.5,1
5,1,0.546875,1
6,1,0.5,1
7,1,0.5078125,1
8,1,0.484375,1
9,1,0.6796875,1
10,1,0.6640625,1
11,1,0.59375,1
12,1,0.6328125,1
13,1,0.484375,1
14,1,0.8203125,1
15,1,0.734375,1
16,1,0.53125,1
17,1,0.5,1
18,1,0.5859375,1
19,1,0.515625,1
20,1,0.5859375,1
21,1,0.5859375,1
22,1,0.6875,1
23,1,0.828125,1
24,1,0.796875,1
25,1,0.78125,1
26,1,0.78125,1
27,1,0.4609375,1
28,1,0.6640625,1
29,1,0.65625,1
30,1,0.9609375,1
31,1,0.8203125,1
32,1,0.921875,1
33,1,0.5234375,1
34,1,0.7421875,1
35,1,0.6328125,1
36,1,0.53125,1
37,1,0.671875,1
38,1,0.3828125,1
39,1,0.75,1
40,1,0.546875,1
41,1,0.796875,1
42,1,0.9609375,1
43,1,0.8359375,1
44,1,0.7265625,1
45,1,0.609375,1
46,1,0.6328125,1
47,1,0.75,1
48,1,0.9609375,1
49,1,0.4921875,1
50,1,0.5703125,1
51,1,0.6484375,1
52,1,0.53125,1
53,1,0.5234375,1
54,1,0.53125,1
55,1,0.6328125,1
56,1,0.4921875,1
57,1,0.515625,1
58,1,0.7421875,1
59,1,0.515625,1
60,1,0.828125,1
61,1,0.6640625,1
62,1,0.7734375,1
63,1,0.8828125,1
64,1,0.6640625,1
65,1,0.75,1
66,1,0.5,1
67,1,0.53125,1
68,1,0.8828125,1
69,1,0.5234375,1
70,2,0.571428571428571,1
71,2,0.571428571428571,1
72,2,0.517857142857143,1
73,2,0.428571428571429,1
74,2,0.642857142857143,1
75,2,0.526785714285714,1
76,2,0.571428571428571,1
77,2,0.526785714285714,1
78,2,0.758928571428571,1
79,2,0.785714285714286,1
80,2,0.660714285714286,1
81,2,0.794642857142857,1
82,2,0.544642857142857,1
83,2,0.848214285714286,1
84,2,0.785714285714286,1
85,2,0.714285714285714,1
86,2,0.732142857142857,1
87,2,0.660714285714286,1
88,2,0.625,1
89,2,0.607142857142857,1
90,2,0.767857142857143,1
91,2,0.794642857142857,1
92,2,0.767857142857143,1
93,2,0.857142857142857,1
94,2,0.830357142857143,1
95,2,0.830357142857143,1
96,2,0.535714285714286,1
97,2,0.75,1
98,2,0.696428571428571,1
99,2,0.9375,1
100,2,0.758928571428571,1
101,2,0.839285714285714,1
102,2,0.732142857142857,1
103,2,0.741071428571429,1
104,2,0.830357142857143,1
105,2,0.723214285714286,1
106,2,0.830357142857143,1
107,2,0.446428571428571,1
108,2,0.875,1
109,2,0.6875,1
110,2,0.803571428571429,1
111,2,0.839285714285714,1
112,2,0.794642857142857,1
113,2,0.6875,1
114,2,0.696428571428571,1
115,2,0.794642857142857,1
116,2,0.794642857142857,1
117,2,0.866071428571429,1
118,2,0.580357142857143,1
119,2,0.758928571428571,1
120,2,0.767857142857143,1
121,2,0.517857142857143,1
122,2,0.535714285714286,1
123,2,0.660714285714286,1
124,2,0.741071428571429,1
125,2,0.5625,1
126,2,0.491071428571429,1
127,2,0.839285714285714,1
128,2,0.669642857142857,1
129,2,0.803571428571429,1
130,2,0.741071428571429,1
