,sub,prolific_id,elic,p1,p2,rtime,out,cfout,cho,corr,10,trial,cond,cont1,cont2,15,16,17,rew,sess,op1,op2,ev1,ev2,catch,25,26,dist,plot,dbtime
0,140293694.0,,-1.0,0.6,0.4,8458.0,1.0,-1.0,1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,3.0,2.0,-1.0,0.0,-1.0,3.0,2.0,0.2,-0.2,-1.0,0.0,89285.0,0.0,0.0,
1,140293694.0,,-1.0,0.6,0.4,2987.0,1.0,-1.0,1.0,1.0,0.0,1.0,3.0,-1.0,-1.0,2.0,3.0,1.0,0.0,-1.0,3.0,2.0,0.2,-0.2,-1.0,1.0,100268.0,0.0,0.0,
2,140293694.0,,-1.0,0.6,0.4,4533.0,-1.0,-1.0,1.0,1.0,0.0,2.0,3.0,-1.0,-1.0,2.0,3.0,1.0,0.0,-1.0,3.0,2.0,0.2,-0.2,-1.0,1.0,105764.0,0.0,0.0,
3,140293694.0,,-1.0,0.9,0.1,2664.0,-1.0,-1.0,1.0,1.0,0.0,3.0,0.0,-1.0,-1.0,8.0,5.0,1.0,0.0,-1.0,5.0,8.0,0.8,-0.8,-1.0,1.0,112803.0,0.0,0.0,
4,140293694.0,,-1.0,0.9,0.1,1129.0,-1.0,-1.0,2.0,0.0,0.0,4.0,0.0,-1.0,-1.0,8.0,5.0,-1.0,0.0,-1.0,5.0,8.0,0.8,-0.8,-1.0,1.0,117975.0,0.0,0.0,
5,140293694.0,,-1.0,0.9,0.1,1821.0,-1.0,-1.0,2.0,0.0,0.0,5.0,0.0,-1.0,-1.0,8.0,5.0,-1.0,0.0,-1.0,5.0,8.0,0.8,-0.8,-1.0,1.0,121611.0,0.0,0.0,
6,140293694.0,,-1.0,0.8,0.2,2849.0,1.0,-1.0,1.0,1.0,0.0,6.0,1.0,-1.0,-1.0,4.0,1.0,-1.0,0.0,-1.0,4.0,1.0,0.6,-0.6,-1.0,0.0,125938.0,0.0,0.0,
7,2487748872.0,,-1.0,0.6,0.4,1782.0,1.0,-1.0,1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,4.0,8.0,1.0,0.0,-1.0,8.0,4.0,0.2,-0.2,-1.0,1.0,73271.0,0.0,0.0,
8,140293694.0,,-1.0,0.8,0.2,1517.0,1.0,-1.0,1.0,1.0,0.0,7.0,1.0,-1.0,-1.0,1.0,4.0,1.0,0.0,-1.0,4.0,1.0,0.6,-0.6,-1.0,1.0,131296.0,0.0,0.0,
9,2487748872.0,,-1.0,0.6,0.4,2747.0,-1.0,-1.0,2.0,0.0,0.0,1.0,3.0,-1.0,-1.0,4.0,8.0,-1.0,0.0,-1.0,8.0,4.0,0.2,-0.2,-1.0,1.0,77577.0,0.0,0.0,
10,140293694.0,,-1.0,0.8,0.2,1531.0,1.0,-1.0,1.0,1.0,0.0,8.0,1.0,-1.0,-1.0,4.0,1.0,-1.0,0.0,-1.0,4.0,1.0,0.6,-0.6,-1.0,0.0,135321.0,0.0,0.0,
11,2487748872.0,,-1.0,0.6,0.4,839.0,-1.0,-1.0,1.0,1.0,0.0,2.0,3.0,-1.0,-1.0,4.0,8.0,1.0,0.0,-1.0,8.0,4.0,0.2,-0.2,-1.0,1.0,82840.0,0.0,0.0,
12,140293694.0,,-1.0,0.7,0.3,4087.0,1.0,-1.0,1.0,1.0,0.0,9.0,2.0,-1.0,-1.0,6.0,7.0,-1.0,0.0,-1.0,6.0,7.0,0.4,-0.4,-1.0,0.0,139362.0,0.0,0.0,
13,2487748872.0,,-1.0,0.7,0.3,2438.0,-1.0,-1.0,2.0,0.0,0.0,3.0,2.0,-1.0,-1.0,3.0,7.0,-1.0,0.0,-1.0,7.0,3.0,0.4,-0.4,-1.0,1.0,86191.0,0.0,0.0,
14,140293694.0,,-1.0,0.7,0.3,994.0,-1.0,-1.0,2.0,0.0,0.0,10.0,2.0,-1.0,-1.0,7.0,6.0,-1.0,0.0,-1.0,6.0,7.0,0.4,-0.4,-1.0,1.0,145958.0,0.0,0.0,
15,2487748872.0,,-1.0,0.7,0.3,1996.0,1.0,-1.0,1.0,1.0,0.0,4.0,2.0,-1.0,-1.0,7.0,3.0,-1.0,0.0,-1.0,7.0,3.0,0.4,-0.4,-1.0,0.0,91141.0,0.0,0.0,
16,140293694.0,,-1.0,0.7,0.3,817.0,-1.0,-1.0,1.0,1.0,0.0,11.0,2.0,-1.0,-1.0,6.0,7.0,-1.0,0.0,-1.0,6.0,7.0,0.4,-0.4,-1.0,0.0,149460.0,0.0,0.0,
17,2487748872.0,,-1.0,0.7,0.3,1151.0,-1.0,-1.0,1.0,1.0,0.0,5.0,2.0,-1.0,-1.0,3.0,7.0,1.0,0.0,-1.0,7.0,3.0,0.4,-0.4,-1.0,1.0,95648.0,0.0,0.0,
18,2487748872.0,,-1.0,0.9,0.1,1458.0,-1.0,-1.0,2.0,0.0,0.0,6.0,0.0,-1.0,-1.0,5.0,2.0,-1.0,0.0,-1.0,2.0,5.0,0.8,-0.8,-1.0,1.0,99309.0,0.0,0.0,
19,2487748872.0,,-1.0,0.9,0.1,872.0,-1.0,-1.0,1.0,1.0,0.0,7.0,0.0,-1.0,-1.0,5.0,2.0,1.0,0.0,-1.0,2.0,5.0,0.8,-0.8,-1.0,1.0,103278.0,0.0,0.0,
20,2487748872.0,,-1.0,0.9,0.1,752.0,1.0,-1.0,2.0,0.0,0.0,8.0,0.0,-1.0,-1.0,5.0,2.0,-1.0,0.0,-1.0,2.0,5.0,0.8,-0.8,-1.0,1.0,106656.0,0.0,0.0,
21,2487748872.0,,-1.0,0.8,0.2,2455.0,-1.0,-1.0,2.0,0.0,0.0,9.0,1.0,-1.0,-1.0,6.0,1.0,-1.0,0.0,-1.0,1.0,6.0,0.6,-0.6,-1.0,1.0,109919.0,0.0,0.0,
22,2487748872.0,,-1.0,0.8,0.2,975.0,-1.0,-1.0,1.0,1.0,0.0,10.0,1.0,-1.0,-1.0,1.0,6.0,-1.0,0.0,-1.0,1.0,6.0,0.6,-0.6,-1.0,0.0,114884.0,0.0,0.0,
23,2487748872.0,,-1.0,0.8,0.2,760.0,-1.0,-1.0,2.0,0.0,0.0,11.0,1.0,-1.0,-1.0,1.0,6.0,1.0,0.0,-1.0,1.0,6.0,0.6,-0.6,-1.0,0.0,118388.0,0.0,0.0,
24,140293694.0,,0.0,0.6,0.0,2558.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,6.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.2,-1.0,0.0,1.0,197921.0,-1.0,0.0,
25,140293694.0,,0.0,0.6,0.3,3431.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,6.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2,-0.4,0.0,0.0,202986.0,-1.0,0.0,
26,2487748872.0,,0.0,0.8,0.3,3209.0,1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,8.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.4,0.0,0.0,149315.0,-1.0,0.0,
27,140293694.0,,0.0,0.6,0.1,2828.0,1.0,-1.0,1.0,1.0,1.0,2.0,-1.0,6.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.2,-0.8,0.0,1.0,208922.0,-1.0,0.0,
28,2487748872.0,,0.0,0.8,0.1,2808.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,8.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.8,0.0,0.0,155031.0,-1.0,0.0,
29,2487748872.0,,0.0,0.8,0.2,1685.0,-1.0,-1.0,1.0,1.0,1.0,2.0,-1.0,8.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.6,0.0,1.0,160345.0,-1.0,0.0,
30,140293694.0,,0.0,0.6,0.2,2727.0,1.0,-1.0,1.0,1.0,1.0,3.0,-1.0,6.0,2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2,-0.6,0.0,0.0,214257.0,-1.0,0.0,
31,2487748872.0,,0.0,0.8,0.0,1362.0,1.0,-1.0,1.0,1.0,1.0,3.0,-1.0,8.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.6,-1.0,0.0,1.0,164538.0,-1.0,0.0,
32,140293694.0,,0.0,0.7,0.2,1683.0,1.0,-1.0,1.0,1.0,1.0,4.0,-1.0,7.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.6,1.0,1.0,219486.0,-1.0,0.0,
33,2487748872.0,,0.0,0.8,0.2,1559.0,1.0,-1.0,1.0,1.0,1.0,4.0,-1.0,8.0,2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.6,1.0,0.0,168405.0,-1.0,0.0,
34,140293694.0,,0.0,0.4,0.1,1617.0,-1.0,-1.0,1.0,1.0,1.0,5.0,-1.0,4.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.2,-0.8,0.0,0.0,223672.0,-1.0,0.0,
35,2487748872.0,,0.0,0.2,0.0,1648.0,-1.0,-1.0,1.0,1.0,1.0,5.0,-1.0,2.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.6,-1.0,0.0,1.0,172470.0,-1.0,0.0,
36,140293694.0,,0.0,0.4,0.3,1606.0,1.0,-1.0,1.0,1.0,1.0,6.0,-1.0,4.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.2,-0.4,0.0,0.0,227792.0,-1.0,0.0,
