,sub_id,phase,p1,p2,rtime,out,cfout,cho,corr,trial,cond,chose_right,rew,sess,op1,op2,ev1,ev2,catch,reversed
0,1935710962.0,LE,0.9,0.1,1760.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,0.0
1,1935710962.0,LE,0.8,0.2,2458.0,-1.0,-1.0,2.0,0.0,1.0,1.0,-1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,1.0
2,1935710962.0,LE,0.6,0.4,714.0,1.0,-1.0,2.0,0.0,2.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,0.0
3,1935710962.0,LE,0.7,0.3,487.0,-1.0,-1.0,1.0,1.0,3.0,2.0,-1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,0.0
4,1935710962.0,LE,0.7,0.3,369.0,-1.0,-1.0,2.0,0.0,4.0,2.0,1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,0.0
5,1935710962.0,LE,0.9,0.1,2330.0,1.0,-1.0,1.0,1.0,5.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,0.0
6,1935710962.0,LE,0.8,0.2,1101.0,1.0,-1.0,1.0,1.0,6.0,1.0,1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,1.0
7,1935710962.0,LE,0.6,0.4,1148.0,1.0,-1.0,1.0,1.0,7.0,3.0,-1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,0.0
8,1935710962.0,LE,0.8,0.2,983.0,1.0,-1.0,1.0,1.0,8.0,1.0,1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,1.0
9,1935710962.0,LE,0.9,0.1,2960.0,1.0,-1.0,1.0,1.0,9.0,0.0,1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,1.0
10,1935710962.0,LE,0.7,0.3,793.0,-1.0,-1.0,1.0,1.0,10.0,2.0,-1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,0.0
11,1935710962.0,LE,0.6,0.4,1210.0,1.0,-1.0,1.0,1.0,11.0,3.0,-1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,0.0
12,3313289158.0,LE,0.6,0.4,6838.0,-1.0,-1.0,1.0,1.0,0.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,1.0
13,3313289158.0,LE,0.6,0.4,3790.0,1.0,-1.0,1.0,1.0,1.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,1.0
14,3313289158.0,LE,0.7,0.3,1447.0,1.0,-1.0,1.0,1.0,2.0,2.0,-1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,0.0
15,3313289158.0,LE,0.8,0.2,2549.0,1.0,-1.0,1.0,1.0,3.0,1.0,-1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,0.0
16,3313289158.0,LE,0.8,0.2,1242.0,1.0,-1.0,1.0,1.0,4.0,1.0,-1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,0.0
17,3313289158.0,LE,0.9,0.1,2470.0,-1.0,-1.0,1.0,1.0,5.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,0.0
18,3313289158.0,LE,0.6,0.4,2235.0,-1.0,-1.0,2.0,0.0,6.0,3.0,1.0,0.0,-1.0,E,E,0.2,-0.2,-1.0,0.0
19,3313289158.0,LE,0.9,0.1,1711.0,-1.0,-1.0,2.0,0.0,7.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,1.0
20,3313289158.0,LE,0.8,0.2,1191.0,-1.0,-1.0,1.0,1.0,8.0,1.0,-1.0,0.0,-1.0,E,E,0.6,-0.6,-1.0,0.0
21,3313289158.0,LE,0.7,0.3,1010.0,-1.0,-1.0,2.0,0.0,9.0,2.0,1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,0.0
22,1935710962.0,ES,0.7,0.2,1867.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,E,S,0.4,-0.6,0.0,1.0
23,3313289158.0,LE,0.7,0.3,915.0,1.0,-1.0,2.0,0.0,10.0,2.0,-1.0,0.0,-1.0,E,E,0.4,-0.4,-1.0,1.0
24,1935710962.0,ES,0.1,0.2,1693.0,-1.0,-1.0,2.0,1.0,1.0,-1.0,1.0,0.0,-1.0,E,S,-0.8,-0.6,0.0,0.0
25,3313289158.0,LE,0.9,0.1,1351.0,1.0,-1.0,1.0,1.0,11.0,0.0,-1.0,0.0,-1.0,E,E,0.8,-0.8,-1.0,0.0
26,1935710962.0,ES,0.2,0.3,2959.0,-1.0,-1.0,1.0,0.0,2.0,-1.0,-1.0,0.0,-1.0,E,S,-0.6,-0.4,0.0,0.0
27,1935710962.0,ES,0.2,0.0,1220.0,-1.0,-1.0,1.0,1.0,3.0,-1.0,-1.0,0.0,-1.0,E,S,-0.6,-1.0,0.0,0.0
28,1935710962.0,ES,0.3,0.1,1299.0,-1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,0.0,-1.0,E,S,-0.4,-0.8,0.0,1.0
29,1935710962.0,ES,0.1,0.1,1252.0,-1.0,-1.0,1.0,1.0,5.0,-1.0,-1.0,0.0,-1.0,E,S,-0.8,-0.8,0.0,0.0
30,1935710962.0,ES,0.3,0.3,1095.0,-1.0,-1.0,1.0,1.0,6.0,-1.0,-1.0,0.0,-1.0,E,S,-0.4,-0.4,0.0,0.0
31,1935710962.0,ES,0.3,0.2,1103.0,-1.0,-1.0,1.0,1.0,7.0,-1.0,1.0,0.0,-1.0,E,S,-0.4,-0.6,0.0,1.0
32,1935710962.0,ES,0.6,0.2,743.0,1.0,-1.0,1.0,1.0,8.0,-1.0,-1.0,0.0,-1.0,E,S,0.2,-0.6,0.0,0.0
33,1935710962.0,ES,0.4,0.3,1023.0,1.0,-1.0,1.0,1.0,9.0,-1.0,-1.0,0.0,-1.0,E,S,-0.2,-0.4,0.0,0.0
