"EXP","EXPID","ID","ELIC","P1","P2","RTIME","OUT","CF_OUT","CHOICE","CORRECT_CHOICE","TEST","TRIAL","COND","CONT1","CONT2","SYML","SYMR","LR","REW","SESSION","OP1","OP2","EV1","EV2","CATCH","INV","CTIME","DIST","PLOT","DBTIME"
"TestNofixed","8587025972","Bob7","-1","0.9","0.1","357","1","-1","1","1","1","0","-1","9","1","8","14","0","1","0","1","1","0.8","-0.8","0","0","385","-1","-1","15:35:35"
"TestNofixed","6218856862","Bob3","-1","0.9","0.1","699","1","-1","1","1","1","0","-1","9","1","2","3","1","1","0","1","1","0.8","-0.8","0","1","734","-1","-1","15:35:36"
"TestNofixed","9759079824","Bob8","-1","0.9","0.1","607","1","-1","1","1","1","0","-1","9","1","17","6","0","1","0","1","1","0.8","-0.8","0","0","678","-1","-1","15:35:36"
"TestNofixed","771722951","Bob18","-1","0.9","0.1","411","-1","1","2","0","1","0","-1","9","1","16","2","1","-1","0","1","1","0.8","-0.8","0","0","445","-1","-1","15:35:36"
"TestNofixed","7398521007","Bob5","-1","0.9","0.1","865","-1","1","2","0","1","0","-1","9","1","6","17","0","-1","0","1","1","0.8","-0.8","0","1","980","-1","-1","15:35:37"
"TestNofixed","6262625881","Bob16","-1","0.9","0.1","992","1","-1","1","1","1","0","-1","9","1","14","3","0","1","0","1","1","0.8","-0.8","0","0","1057","-1","-1","15:35:37"
"TestNofixed","1706402100","Bob0","-1","0.9","0.1","566","1","-1","1","1","1","0","-1","9","1","16","6","1","1","0","1","1","0.8","-0.8","0","1","703","-1","-1","15:35:37"
"TestNofixed","2072445860","Bob6","-1","0.9","0.1","952","1","1","2","0","1","0","-1","9","1","11","7","1","1","0","1","1","0.8","-0.8","0","0","1073","-1","-1","15:35:37"
"TestNofixed","4754079349","Bob14","-1","0.9","0.1","855","-1","-1","2","0","1","0","-1","9","1","8","14","1","-1","0","1","1","0.8","-0.8","0","0","932","-1","-1","15:35:37"
"TestNofixed","8972180322","Bob1","-1","0.9","0.1","580","1","-1","1","1","1","0","-1","9","1","6","13","0","1","0","1","1","0.8","-0.8","0","0","623","-1","-1","15:35:37"
"TestNofixed","9967949007","Bob17","-1","0.9","0.1","1100","-1","-1","1","1","1","0","-1","9","1","13","7","0","-1","0","1","1","0.8","-0.8","0","0","1142","-1","-1","15:35:37"
"TestNofixed","6362732726","Bob12","-1","0.9","0.1","668","-1","1","2","0","1","0","-1","9","1","3","2","1","-1","0","1","1","0.8","-0.8","0","0","911","-1","-1","15:35:38"
"TestNofixed","4240055669","Bob9","-1","0.9","0.1","466","1","-1","1","1","1","0","-1","9","1","7","15","1","1","0","1","1","0.8","-0.8","0","1","643","-1","-1","15:35:38"
