session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,bonus
5dc96aeaddaa4d67de66d082,5c49b08b8133a40001bb0d82,RETURNED,2019-11-11 14:16:34.850000,,51576757.513884,23,60,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dc96afe6bba9b67a2fb8627,5adb312cdee8590001b00f11,APPROVED,2019-11-11 14:07:05.490000,2019-11-11 14:35:51.533000,1726.043,25,185,3,99,2019-11-11 17:33:22.195000,RNFS5HP5,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,DATA EXPIRED,2.89
5dc96b1df375a9689925ebb2,5d0a6bc57a112a0019c4329f,RETURNED,2019-11-11 14:07:26.730000,,51577305.675432,25,80,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dc96b29441a2168026cb7b7,5dc80bda092079592fb337f6,APPROVED,2019-11-11 14:07:59.630000,2019-11-11 14:57:19.052000,2959.422,26,25,0,100,2019-11-11 17:33:23.846000,RNFS5HP5,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED,4.93
5dc96b2d37023967457a8e42,5b590817db94af0001394211,APPROVED,2019-11-11 14:07:43.852000,2019-11-11 15:02:05.779000,3261.927,26,171,0,100,2019-11-11 17:33:25.559000,RNFS5HP5,Canada,Canada,DATA EXPIRED,English,Canada,Female,DATA EXPIRED,4.46
5dc96b3c19ca036815e6cfa4,5dc72fc7f9d4a0522a424169,APPROVED,2019-11-11 14:08:00.046000,2019-11-11 15:09:17.865000,3677.819,24,160,3,98,2019-11-11 17:33:26.451000,RNFS5HP5,United States,United States,DATA EXPIRED,Spanish,United States,Female,DATA EXPIRED,2.76
5dc96b43fc1cda67f813dc6e,5dc6e065e41a9f4e9b3f952c,APPROVED,2019-11-11 14:08:07.633000,2019-11-11 15:11:09.124000,3781.491,20,40,3,96,2019-11-11 17:33:27.567000,RNFS5HP5,Poland,Poland,Full-Time,Polish,Poland,Male,DATA EXPIRED,4.15
5dc96b4d89691e6827efec04,5dadc4ffb3844500159a00d4,RETURNED,2019-11-11 14:08:14.907000,,51577257.60661,21,44,4,93,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dc96b5f4fbd086770b612e2,5bfea0615dd3630001265084,APPROVED,2019-11-11 14:08:31.285000,2019-11-11 14:42:02.266000,2010.981,21,75,1,100,2019-11-11 17:33:29.382000,RNFS5HP5,Slovenia,Slovenia,DATA EXPIRED,Slovenian,Slovenia,Male,DATA EXPIRED,4.46
5dc96b6245b8f9694292788e,591c76c53ae7870001cb0c60,APPROVED,2019-11-11 14:08:40.295000,2019-11-11 14:45:26.449000,2206.154,54,456,1,100,2019-11-11 17:33:32.085000,RNFS5HP5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes,4.85
