session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,bonus
5dd69c6f848b0f61c757e8ff,5dd693982b033b60fe1efe92,APPROVED,2019-11-21 14:17:38.641000,2019-11-21 15:39:11.462000,4892.821,31,11,0,100,2019-11-21 15:54:23.837000,RNFS5HP5,United States,United States,DATA EXPIRED,English,Philippines,Female,DATA EXPIRED,4.87
5dd69cb7fef7c26282c9ec19,5c92c143719a1d0018e5e089,APPROVED,2019-11-21 14:18:44.915000,2019-11-21 16:03:44.758000,6299.843,50,185,1,100,2019-11-21 16:04:42.568000,RNFS5HP5,Zambia,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,3.67
5dd69cb818beb661ac0dfe96,5c3f927ae3183b0001fa00e8,APPROVED,2019-11-21 14:18:40.069000,2019-11-21 15:06:46.116000,2886.047,45,126,1,99,2019-11-21 15:54:24.876000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,3.72
5dd69cd27beb2962256c5f88,59d4ff54e59146000112e5b1,APPROVED,2019-11-21 14:19:04.765000,2019-11-21 15:35:08.792000,4564.027,48,218,1,100,2019-11-21 15:54:25.805000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,3.91
5dd69cd4e05cad61c79101b8,5dd607295686c15b3546af4b,APPROVED,2019-11-21 14:19:23.914000,2019-11-21 15:10:00.200000,3036.286,41,150,0,100,2019-11-21 15:54:26.708000,RNFS5HP5,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED,4.24
5dd69cd519eecb62099f48b6,5bbb517470f8df0001c09cc6,RETURNED,2019-11-21 14:30:00.063000,,50712642.853109,22,20,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dd69cdf5e9119619c72823b,5cf3ba5781ea050017a61781,APPROVED,2019-11-21 14:19:23.797000,2019-11-21 15:19:29.683000,3605.886,34,102,0,100,2019-11-21 15:54:27.822000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,3.41
5dd69d00dba634627f5920de,5dbc3b5554c7971ed890ac82,APPROVED,2019-11-21 14:19:46.736000,2019-11-21 15:09:32.145000,2985.409,38,2,0,100,2019-11-21 15:54:28.700000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,2.13
5dd69d043c493762c23dd642,5d1cc431d041490016da4898,RETURNED,2019-11-21 14:19:52.575000,,50713250.398696,23,47,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dd69d0d961cb3618d8a5d21,5bd7b4053dac81000124b592,APPROVED,2019-11-21 14:20:34.651000,2019-11-21 15:47:00.657000,5186.006,38,62,0,100,2019-11-21 15:54:29.626000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,Ireland,Female,DATA EXPIRED,3.76
5dd69d14cb9dd6623915bd84,5db1b4095b8b65000fe5f097,APPROVED,2019-11-21 14:20:07.060000,2019-11-21 15:29:58.115000,4191.055,38,118,0,100,2019-11-21 15:54:30.708000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,4.91
5dd69d2886411b6244806379,5d82852ae7a57100011a6122,APPROVED,2019-11-21 14:20:26.369000,2019-11-21 15:40:10.315000,4783.946,21,78,0,100,2019-11-21 15:54:31.637000,RNFS5HP5,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,DATA EXPIRED,4.37
5dd69d366d522561b5ffc85d,5d8a1f7218133500163107f8,APPROVED,2019-11-21 14:20:42.463000,2019-11-21 15:46:56.686000,5174.223,32,197,3,98,2019-11-21 15:54:32.522000,RNFS5HP5,China,DATA EXPIRED,Unemployed (and job seeking),Chinese,China,Female,No,4.7
5dd69d5e5daaa66170e4942b,5d78cb8a44b0d10001a53485,APPROVED,2019-11-21 14:21:20.822000,2019-11-21 15:15:09.889000,3229.067,32,152,2,98,2019-11-21 15:54:33.392000,RNFS5HP5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,4.11
5dd69d649d9e3061dfd982eb,5d801d303f019e001804c468,RETURNED,2019-11-21 14:31:24.540000,,50712558.542538,25,80,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dd69d67794e10623de1152e,5dd59a3786411b56310c1b71,RETURNED,2019-11-21 14:21:50.307000,,50713132.797026,25,126,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dd69d6da6438063465fe4d2,5abecc5268b65b00018d2206,RETURNED,2019-11-21 14:21:38.699000,2019-11-21 14:28:30.312000,411.613,41,48,5,91,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dd69d71108b67619814d6e2,5d667425bf872a001a72eb79,APPROVED,2019-11-21 14:21:51.171000,2019-11-21 15:28:20.046000,3988.875,34,221,0,100,2019-11-21 15:54:34.273000,RNFS5HP5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,NULL
5dd69d7679829762a1099cc4,5dd3e1a95e91193be490487d,APPROVED,2019-11-21 14:21:54.498000,2019-11-21 15:16:37.652000,3283.154,22,8,1,96,2019-11-21 15:54:35.152000,RNFS5HP5,Italy,Italy,DATA EXPIRED,Italian,Italy,Female,DATA EXPIRED,4.39
5dd69d79eb3973619da241f6,5be44031f5825800016a2b17,TIMED-OUT,2019-11-21 14:21:50.268000,,50713132.89661,,127,1,100,,,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,NULL
5dd69d814a113a62abdfbd9c,596db217ed56f400011f5118,APPROVED,2019-11-21 14:21:56.682000,2019-11-21 15:31:38.839000,4182.157,44,359,8,98,2019-11-21 15:54:36.157000,RNFS5HP5,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,NULL
5dd69e77fd5b2861438f14b2,5bafec568f3bd70001e4e5f8,APPROVED,2019-11-21 14:26:02.674000,2019-11-21 15:14:20.362000,2897.688,21,100,2,100,2019-11-21 15:54:37.084000,RNFS5HP5,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED,2.74
5dd69f4c40460e6230649873,5b648251bd56550001bf31fd,RETURNED,2019-11-21 14:29:35.759000,,50712667.477945,49,765,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dd69f70ad0a61614f02d05f,5c0d2a1e934de30001764967,RETURNED,2019-11-21 14:30:10.816000,,50712632.426938,,163,5,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dd69f99c73a01621fede5bd,5d716715d1e5b80015d63d2e,APPROVED,2019-11-21 14:30:52.247000,2019-11-21 16:16:51.275000,6359.028,24,75,4,90,2019-11-21 16:20:34.755000,RNFS5HP5,Greece,Greece,DATA EXPIRED,Greek,Greece,Female,DATA EXPIRED,NULL
5dd69fb28a3c5e6271e69d0c,5dcdaaf46d6dfe06a0be7918,APPROVED,2019-11-21 14:31:14.529000,2019-11-21 15:56:07.582000,5093.053,,7,3,84,2019-11-21 16:04:39.889000,RNFS5HP5,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,3.52
5dd69fe349f607622f6cf59b,5c21f91a867f660001ad4a2a,APPROVED,2019-11-21 14:35:27.302000,2019-11-21 15:33:24.678000,3477.376,28,280,1,100,2019-11-21 15:54:38.034000,RNFS5HP5,Hungary,Israel,Unemployed (and job seeking),Hungarian,Hungary,Male,No,4.85
5dd6b80a149f5363fd077802,5cac639638d61000014da640,APPROVED,2019-11-21 16:15:06.027000,2019-11-21 17:36:22.842000,4876.815,23,524,8,98,2019-11-22 10:24:15.139000,RNFS5HP5,United Kingdom,Poland,Full-Time,DATA EXPIRED,United Kingdom,Male,Yes,4.41
5dd7f0c1a9ead07924c043c5,5ba863a346de410001ecfb2a,APPROVED,2019-11-22 14:33:25.239000,2019-11-22 16:40:44.636000,7639.397,36,424,3,100,2019-11-22 16:46:25.836000,NOCODE,United States,United States,Full-Time,English,United States,Female,No,NULL
5dd7f0ce1986eb792f35c4d9,5bf695616c445d0001aea803,RETURNED,2019-11-22 14:29:49.506000,,50626981.965455,22,231,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5dd7f103946f7c78ba5898bd,5abc0d68436f550001ff83ff,APPROVED,2019-11-22 14:33:27.972000,2019-11-22 15:28:37.129000,3309.157,28,163,4,97,2019-11-22 15:32:05.639000,RNFS5HP5,Slovenia,Slovenia,DATA EXPIRED,Slovenian,Slovenia,Male,DATA EXPIRED,3.63
5dd7f111caee3e779a7bfdd0,5c47188c51c26300012cbd38,TIMED-OUT,2019-11-22 14:30:44.179000,,50626927.322447,22,87,1,100,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,NULL
5dd7f127ffc3d876d5cc70a9,5dc458cbbe3c0f32514b1bf4,APPROVED,2019-11-22 14:31:11.030000,2019-11-22 15:41:55.188000,4244.158,24,82,0,100,2019-11-22 15:44:15.152000,RNFS5HP5,Portugal,Portugal,DATA EXPIRED,DATA EXPIRED,Portugal,Male,DATA EXPIRED,4.74
5dd7f13aad0a617771cc7bad,58d4ffb247aa1e00010478ca,APPROVED,2019-11-22 14:31:24.960000,2019-11-22 15:54:31.390000,4986.43,28,175,17,88,2019-11-22 16:12:53.888000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,2.5
