session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,bonus
5e173ea62b0135046bc1d80b,5dd1bbc5eab0422259102ab9,APPROVED,2020-01-09 14:54:35.042000,2020-01-09 16:25:48.305000,5473.263,42,318,4,97,2020-01-10 10:27:14.608000,3DRNFS5HP5,United States,United States,DATA EXPIRED,English,Colombia,Female,DATA EXPIRED,4.5
5e173ed0406813046d7a4cf5,5e162e31398bb6c0ab5c2428,RETURNED,2020-01-09 14:55:18.142000,,70485990.901637,56,266,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NaN
5e173f07103b87000b4046ca,5e132347375134000b3d1236,APPROVED,2020-01-09 14:56:28.977000,2020-01-09 15:56:39.240000,3610.263,26,1,0,100,2020-01-10 10:27:15.551000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,4.59
5e173f2d5bcd43050d27bba3,5dcc75043e78ea90f63ecabb,APPROVED,2020-01-09 14:56:53.074000,2020-01-09 16:49:56.216000,6783.142,32,140,0,100,2020-01-10 10:27:16.644000,RNFS5HP5,DATA EXPIRED,United Kingdom,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,Female,DATA EXPIRED,2.92
5e173f2df8c7b4000b98227a,57d3d0b994cb1b0001605d30,APPROVED,2020-01-09 15:00:53.701000,2020-01-09 15:58:15.120000,3441.419,29,62,0,101,2020-01-10 10:27:17.541000,RNFS5HP5,Cyprus,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,3.85
5e173f6c2b013504cdc39b81,5e173aa8844cbc04a71fe24d,RETURNED,2020-01-09 15:07:48.346000,,70485240.768015,25,7,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NaN
5e173f8446ef8204c595b44f,55f19d774779250012dd3644,APPROVED,2020-01-09 14:58:15.577000,2020-01-09 15:46:46.333000,2910.756,23,195,2,100,2020-01-10 10:27:18.434000,RNFS5HP5,Belgium,Belgium,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,Belgium,Male,Yes,NaN
5e173fa40762b5044de62c38,5e16e27211d879ca7f1eccb8,TIMED-OUT,2020-01-09 14:58:47.208000,,70485781.930537,,0,0,100,,,,,,,,,,NaN
5e173fbb86a445047260e078,5db8c8cd5c9aad000aa6a920,RETURNED,2020-01-09 14:59:09.922000,,70485759.241645,21,2,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,4.69
5e173fd1b264cd000ba6c8b3,5e173473085a1c03ac0f7401,RETURNED,2020-01-09 15:00:13.951000,,70485695.224025,30,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,4.59
5e174019232ecc000da620e1,5cb61b48d3dc7d0015066d36,APPROVED,2020-01-09 15:00:56.492000,2020-01-09 16:32:30.429000,5493.937,26,4,0,100,2020-01-10 10:27:19.527000,RNFS5HP5,Hungary,Hungary,DATA EXPIRED,Hungarian,Hungary,Male,DATA EXPIRED,4.49
5e174041bd51070401f4aafd,5c85883136f2450001c86ba9,APPROVED,2020-01-09 15:01:42.195000,2020-01-09 15:56:16.334000,3274.139,31,285,1,100,2020-01-10 10:27:20.485000,RNFS5HP5,Ireland,Czech Republic,Full-Time,English,Ireland,Female,No,NaN
5e174046a30196000c067877,5cf3c41f83416100157ce12e,APPROVED,2020-01-09 15:01:26.750000,2020-01-09 16:07:09.963000,3943.213,38,117,3,96,2020-01-10 10:27:21.342000,RNFS5HP5,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED,4.71
5e17405d213012000a3e9620,59cfe8f223b3e500018f51c1,APPROVED,2020-01-09 15:01:50.620000,2020-01-09 15:59:17.050000,3446.43,27,236,1,100,2020-01-10 10:27:22.615000,RNFS5HP5,Poland,Poland,Full-Time,Polish,Poland,Female,DATA EXPIRED,4.93
