session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,bonus
5e5fc7495004a20116249c2e,5cf3c1995922c600173a5465,REJECTED,2020-03-04 15:20:46.130000,2020-03-04 15:25:10.226000,264.096,51,1,1,87,2020-03-04 16:55:26.397000,5cf3c1995922c600173a5465,Poland,Poland,DATA EXPIRED,Polish,Poland,Female,DATA EXPIRED,NULL
5e5fc75b4904ef2ffb46ef65,5b3d79ec4915d00001828240,APPROVED,2020-03-04 15:20:59.745000,2020-03-04 16:25:01.353000,3841.608,48,269,0,100,2020-03-04 17:07:02.532000,RNFS5HP5,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Female,No,4.12
5e5fc7c4979e2a021e39e124,5e5f97632036112d63c13d99,APPROVED,2020-03-04 15:23:02.123000,2020-03-04 16:13:49.456000,3047.333,44,4,0,100,2020-03-04 17:07:03.569000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,NULL
5e5fc7ca9dd9393087c826c2,5e5f96b3f28a102ce012dc71,APPROVED,2020-03-04 15:22:50.012000,2020-03-04 15:54:28.133000,1898.121,24,96,2,99,2020-03-04 17:07:04.913000,RNFS5HP5,Romania,Denmark,DATA EXPIRED,Romanian,Romania,Female,Yes,4.97
5e5fc7f459ee8d01713105e9,5c1f7cba18a5a60001762f79,APPROVED,2020-03-04 15:24:30.743000,2020-03-04 16:39:55.854000,4525.111,37,32,0,100,2020-03-04 17:07:05.953000,RNFS5HP5,Mexico,Mexico,DATA EXPIRED,Spanish,Mexico,Male,DATA EXPIRED,NULL
5e5fc7ff7529473041379f01,5b43bcaab857640001312dd5,APPROVED,2020-03-04 15:23:46.868000,2020-03-04 15:47:39.901000,1433.033,23,238,4,98,2020-03-04 17:07:06.989000,RNFS5HP5,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No,4.51
5e5fc8194bcbd70341cd48b3,5e5fc49588479230997d6f0c,RETURNED,2020-03-04 15:24:15.051000,,41727645.070606,37,253,9,93,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5e5fc84aac963c30c57f2e28,5e5fc65b2fa0a630d38a4251,APPROVED,2020-03-04 15:25:02.547000,2020-03-04 15:43:42.033000,1119.486,22,116,0,100,2020-03-04 17:07:07.957000,RNFS5HP5,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes,2.37
5e5fc84c6a75b5042798a6f8,5da903f3b5c28d0017745a1c,APPROVED,2020-03-04 15:25:01.899000,2020-03-04 16:08:55.052000,2633.153,22,115,0,100,2020-03-04 17:07:09.037000,RNFS5HP5,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Male,Yes,NULL
5e5fc85865b9f9000d86641f,5e57d047e9f4140220930646,APPROVED,2020-03-04 15:25:34.164000,2020-03-04 15:46:57.781000,1283.617,23,135,2,97,2020-03-04 17:07:10.059000,RNFS5HP5,Greece,Greece,Unemployed (and job seeking),Greek,Greece,Male,Yes,4.45
5e5fc859778a73300508123d,5e5fc6574e7f6b303672df37,RETURNED,2020-03-04 15:25:20.760000,,41727579.432085,36,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5e5fc87d867e2f02e70d80f1,5e160d134c81b2c00dd1d179,APPROVED,2020-03-04 15:26:05.381000,2020-03-04 15:59:00.303000,1974.922,20,33,2,96,2020-03-04 17:07:11.012000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,3.47
5e5fc88c287d5030724b1c34,5e5e623737be5e1762ad4418,APPROVED,2020-03-04 15:26:16.473000,2020-03-04 16:14:38.819000,2902.346,21,89,0,100,2020-03-04 17:07:11.932000,RNFS5HP5,Czech Republic,Czech Republic,DATA EXPIRED,Czech,Czech Republic,Male,DATA EXPIRED,3.34
5e5fc8ab3d6047300a91052c,5e5ef18a5f5a92233a38b225,RETURNED,2020-03-04 15:26:44.726000,,41727495.532444,21,2,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
