session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,bonus
5d5ebd3ee9a2cf001968d206,5d3c2b046a5b1e0001a91614,APPROVED,2019-08-22 16:05:21.843000,2019-08-22 16:37:11.859000,1910.016,26,9,0,100,2019-08-22 16:52:02.563000,RNFS5HP5,Tunisia,Hungary,DATA EXPIRED,Arabic,Hungary,Female,DATA EXPIRED,2.91
5d5ebd78099beb001a713ec2,5d16d545e9b5ff001a084080,APPROVED,2019-08-22 16:06:16.711000,2019-08-22 16:29:14.495000,1377.784,44,50,0,100,2019-08-22 16:52:03.502000,RNFS5HP5,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED,4.34
5d5ebdbf90c13c00184f54e4,5bbc0997f1f9ba000141cf0f,APPROVED,2019-08-22 16:07:30.813000,2019-08-22 16:39:46.829000,1936.016,32,148,1,100,2019-08-22 16:52:05.643000,RNFS5HP5,Mexico,Mexico,DATA EXPIRED,Spanish,Mexico,Male,DATA EXPIRED,4.49
5d5ebdc5f1a607001a7454ad,5c20f89fe93d1a0001a29941,APPROVED,2019-08-22 16:07:38.718000,2019-08-22 16:38:32.573000,1853.855,22,5,0,100,2019-08-22 16:52:06.220000,RNFS5HP5,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Female,DATA EXPIRED,4.34
5d5ebe563a6589001c98bc83,5d5d89b0909e4c0001b1309c,TIMED-OUT,2019-08-22 16:10:33.155000,,58493464.02095,30,2,0,100,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,NULL
5d5ebe9fb855240019142578,5d5eb4a55a48670001571b9d,APPROVED,2019-08-22 16:11:12.679000,2019-08-22 16:38:37.512000,1644.833,32,1,0,100,2019-08-22 16:52:07.574000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,3.78
5d5ebea9281909001a00fb44,5cf0f51eb094d700013e5136,APPROVED,2019-08-22 16:11:25.992000,2019-08-22 16:46:22.714000,2096.722,21,117,0,100,2019-08-22 16:52:09.377000,RNFS5HP5,Italy,Italy,Other,Italian,Italy,Female,DATA EXPIRED,4.49
5d5ebef2a77f560001d91d0e,5c45b0d5b05faa0001d60dd3,APPROVED,2019-08-22 16:12:37.562000,2019-08-22 16:49:49.900000,2232.338,40,46,1,100,2019-08-22 16:52:10.259000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,4.85
5d5ebf3ce0cbc90001531cdb,584ec5d84e111700010b18a1,RETURNED,2019-08-22 16:23:48.279000,,58492668.98042,32,259,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d5ebf51d64bb1001af342fc,5c7d3f176b56310001457f4d,APPROVED,2019-08-22 16:14:11.355000,2019-08-22 16:46:53.875000,1962.52,25,91,3,96,2019-08-22 16:52:12.272000,RNFS5HP5,Italy,Italy,Full-Time,Italian,Italy,Female,No,NULL
5d5ebf678515f100019a9874,5d5eba2e8f067a001674b0a9,APPROVED,2019-08-22 16:14:45.797000,2019-08-22 16:54:35.470000,2389.673,24,31,0,100,2019-08-22 17:04:37.672000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,5
5d5ebf8339e1b70001b1505d,5bf6b3756c445d0001aeadd4,TIMED-OUT,2019-08-22 16:15:04.271000,,58493193.052362,31,9,0,100,,,Philippines,Denmark,DATA EXPIRED,Tagalog-Filipino,Philippines,Female,DATA EXPIRED,NULL
5d5ebff02c7ba400151e7752,5b9cae9ef07414000104c17a,APPROVED,2019-08-22 16:16:50.618000,2019-08-22 16:51:05.529000,2054.911,53,454,4,99,2019-08-22 16:52:12.966000,RNFS5HP5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,4.03
5d5ec083281909001a00fb4a,5c69683993c6a10001a42f92,APPROVED,2019-08-22 16:19:18.330000,2019-08-22 16:48:34.429000,1756.099,26,39,2,97,2019-08-22 16:52:13.667000,RNFS5HP5,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,DATA EXPIRED,2.96
5d5ec11b0f0fa50001b2ce79,5b213b968ca8150001dd1109,APPROVED,2019-08-22 16:21:49.511000,2019-08-22 16:59:44.241000,2274.73,27,208,0,100,2019-08-22 17:04:39.432000,RNFS5HP5,Mexico,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",Spanish,Mexico,Male,No,NULL
5d5ec151b96900001a74f0d0,5c354421688b59000101b48f,APPROVED,2019-08-22 16:22:59.671000,2019-08-22 17:10:23.304000,2843.633,54,7,0,100,2019-08-22 17:26:06.701000,RNFS5HP5,Spain,Spain,DATA EXPIRED,Spanish,Spain,Female,DATA EXPIRED,4.29
5d5ec17d29d4010018ac58d9,5d18c8c33dde7a00191c328b,APPROVED,2019-08-22 16:23:29.020000,2019-08-22 16:48:12.292000,1483.272,34,16,0,100,2019-08-22 16:52:15.192000,RNFS5HP5,Poland,Poland,DATA EXPIRED,Polish,Poland,Female,DATA EXPIRED,3.27
5d5ec1bdf1a6070018745454,5bc3b9a46bd778000122f880,APPROVED,2019-08-22 16:24:32.715000,2019-08-22 16:55:27.348000,1854.633,27,192,0,100,2019-08-22 17:04:42.120000,RNFS5HP5,Ireland,Norway,DATA EXPIRED,DATA EXPIRED,Ireland,Female,DATA EXPIRED,NULL
5d5ec21c682c8600173e8598,5b7aa778f9bc170001a9328e,APPROVED,2019-08-22 16:26:27.768000,2019-08-22 16:55:24.578000,1736.81,21,89,0,100,2019-08-22 17:04:44.398000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,4.23
5d5ec22eb302b7001c0777e2,5cbb3b75fb8dfe00018398bd,TIMED-OUT,2019-08-22 16:26:26.419000,,58492511.092834,27,145,1,99,,,Romania,United Kingdom,Other,Romanian,Romania,Female,Yes,NULL
5d5ec26b9ee04600154a94a0,5c8aa0ca2b88840001d5cbca,APPROVED,2019-08-22 16:27:33.640000,2019-08-22 17:07:14.451000,2380.811,25,68,0,100,2019-08-22 17:26:09.653000,RNFS5HP5,Poland,Poland,DATA EXPIRED,Polish,Poland,Female,DATA EXPIRED,4.13
5d5ec2bbbb2dee001778cbf9,5c5bee59970c84000165762d,APPROVED,2019-08-22 16:28:46.650000,2019-08-22 17:04:37.672000,2151.022,36,80,0,100,2019-08-22 17:04:45.049000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,No,4.08
5d5ec2f5026f270019cf2c07,5bd0ba1c9afb5b00015b77c1,APPROVED,2019-08-22 16:29:43.353000,2019-08-22 16:58:07.861000,1704.508,25,11,1,99,2019-08-22 17:04:46.163000,RNFS5HP5,Norway,Norway,DATA EXPIRED,Norwegian,Norway,Male,DATA EXPIRED,4.34
5d5ec2f92ac62e00194af593,5ac48ded5cd1050001622c4a,APPROVED,2019-08-22 16:29:47.327000,2019-08-22 17:03:49.004000,2041.677,24,262,3,98,2019-08-22 17:04:46.894000,RNFS5HP5,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No,NULL
5d5ec2fda8c65d0001acc97e,56295ad5c8ffc20012513ae6,APPROVED,2019-08-22 16:29:54.580000,2019-08-22 16:59:16.824000,1762.244,45,107,1,100,2019-08-22 17:04:47.860000,RNFS5HP5,Finland,United Kingdom,DATA EXPIRED,English,Finland,Female,DATA EXPIRED,4.44
5d5ec322b302b7001c0777e9,5cdd2e2a8b39ba00191a227e,APPROVED,2019-08-22 16:30:28.948000,2019-08-22 17:01:22.576000,1853.628,25,36,1,100,2019-08-22 17:04:51.254000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,3.47
5d5ec33beefb4600012fcab3,5baeaaefad2a8d0001401bf2,APPROVED,2019-08-22 16:31:31.858000,2019-08-22 17:17:33.084000,2761.226,20,157,0,100,2019-08-22 17:26:45.212000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,3.47
5d5ec36ff67ef30019c10a24,5d5e951ede1bc300015aa0eb,APPROVED,2019-08-22 16:31:44.774000,2019-08-22 17:01:17.057000,1772.283,59,1,0,100,2019-08-22 17:04:53.224000,RNFS5HP5,Nigeria,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,1.68
5d5ec37dc27824001b2aa809,5ccf5f72222373001912f61e,APPROVED,2019-08-22 16:31:58.951000,2019-08-22 17:10:26.351000,2307.4,24,110,2,99,2019-08-22 17:26:12.650000,RNFS5HP5,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Female,DATA EXPIRED,4.34
5d5ec386d4b96700184f4bb0,5c436a068bb6fd000163e4e8,APPROVED,2019-08-22 16:32:13.292000,2019-08-22 17:03:02.568000,1849.276,26,121,1,100,2019-08-22 17:04:55.108000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,3.93
5d5ec3e9b85524001b1425b3,5d2c5742a41f43001902093f,APPROVED,2019-08-22 16:33:47.851000,2019-08-22 17:13:35.883000,2388.032,46,12,0,100,2019-08-22 17:26:14.870000,RNFS5HP5,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Female,No,3.16
5d5ec436a8c65d0017acc847,5b3322d96d601d0001d62246,APPROVED,2019-08-22 16:35:09.677000,2019-08-22 17:37:58.151000,3768.474,27,94,2,97,2019-08-23 09:11:18.439000,RNFS5HP5,Canada,Canada,DATA EXPIRED,English,Canada,Female,DATA EXPIRED,4.03
5d5ec444133b8d001a085527,5c1df41d547c140001d43e4c,APPROVED,2019-08-22 16:35:20.648000,2019-08-22 17:00:43.215000,1522.567,56,52,0,100,2019-08-22 17:04:59.357000,RNFS5HP5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,3.88
5d5ec44604eb33001be99265,57a1e4bb70c76a0001246608,APPROVED,2019-08-22 16:35:20.452000,2019-08-22 17:12:16.106000,2215.654,28,92,0,100,2019-08-22 17:26:15.882000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,4.03
5d5ec45c27f4400001beb3bd,5c194c99ca244f00013616ea,APPROVED,2019-08-22 16:35:41.345000,2019-08-22 17:04:31.273000,1729.928,21,276,1,100,2019-08-22 17:05:01.172000,RNFS5HP5,Portugal,Portugal,Part-Time,Portuguese,Portugal,Male,Yes,3.78
5d5ec460ccc6760015caf5f6,5d5587bb7c447d0019f371dc,APPROVED,2019-08-22 16:35:52.547000,2019-08-22 17:14:36.299000,2323.752,33,15,0,100,2019-08-22 17:29:16.557000,RNFS5HP5,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED,4.69
5d5ec46a887cfa000178ebd3,5ce19e6045dccf00155889a7,TIMED-OUT,2019-08-22 16:36:00.123000,,58491937.759869,26,194,1,100,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED,NULL
