session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,bonus
5d30c987983db9001aee0190,5d30b98eb8f4a500193ce6c6,APPROVED,2019-07-18 19:33:30.822000,2019-07-18 20:04:30.531000,1859.709,21,156,0,100,2019-07-24 10:28:58.305000,RNFS5HP5,United States,United States,DATA EXPIRED,English,Peru,Male,DATA EXPIRED,3.19
5d30c9b8aa269b00194c5ae0,596a460792973f0001edc027,RETURNED,2019-07-18 19:34:25.817000,,61501674.821485,56,269,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d30c9c798a422001930c607,5d30c81f5f791a001fb95cae,APPROVED,2019-07-18 19:34:33.730000,2019-07-18 20:00:55.477000,1581.747,20,55,0,100,2019-07-24 10:29:00.062000,RNFS5HP5,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,Yes,3.29
5d30c9ddae02c60019777caa,5c15987500b8ee0001d0e380,APPROVED,2019-07-18 19:35:09.006000,2019-07-18 20:06:24.608000,1875.602,,194,1,100,2019-07-24 10:29:03.749000,RNFS5HP5,DATA EXPIRED,DATA EXPIRED,Due to start a new job within the next month,Ukrainian,DATA EXPIRED,Female,DATA EXPIRED,2.88
5d30c9ed459d15000139e59f,5d30c6a98c13a90015651c44,APPROVED,2019-07-18 19:35:20.477000,2019-07-18 20:07:09.506000,1909.029,51,4,0,100,2019-07-24 10:29:07.201000,RNFS5HP5,United States,Czech Republic,DATA EXPIRED,DATA EXPIRED,United States,Male,DATA EXPIRED,3.39
5d30c9ff8b15230019348730,5b9000d4f9e7ad000103089b,RETURNED,2019-07-18 19:35:30.375000,,61501610.346264,23,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,NULL
5d30ca406b3a7c001b9e5346,5d30be1a9e15d300190e3bef,APPROVED,2019-07-18 19:36:38.571000,2019-07-18 20:17:53.036000,2474.465,38,189,1,100,2019-07-24 10:29:09.585000,RNFS5HP5,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Female,No,3.39
5d30cafe5628ea0001b1ba29,5d2f5adf8d1bfa0019b09ed4,APPROVED,2019-07-18 19:39:48.405000,2019-07-18 20:20:13.278000,2424.873,32,1,0,100,2019-07-24 10:29:12.876000,RNFS5HP5,Poland,Canada,DATA EXPIRED,Polish,Poland,Female,DATA EXPIRED,3.24
5d30cb37199439001904cb3b,5d307f69f19fe50001a23701,APPROVED,2019-07-18 19:40:46.683000,2019-07-18 20:10:26.622000,1779.939,25,19,0,100,2019-07-24 10:29:14.589000,RNFS5HP5,Spain,Spain,DATA EXPIRED,Galician,Spain,Female,DATA EXPIRED,4.31
5d30cb418b1523001734870b,5d30b94628b06900195d305e,APPROVED,2019-07-18 19:40:58.047000,2019-07-18 20:10:00.753000,1742.706,27,774,3,100,2019-07-24 10:29:16.708000,RNFS5HP5,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes,3.75
