subject,exp_num,complete,block,less_cues,score,cond
1,1,0,0,0,0.166666666666667,3
2,1,0,0,0,0.866666666666667,3
3,1,0,0,0,0.466666666666667,3
4,1,0,0,0,0.4,3
5,1,0,0,0,0.733333333333333,3
6,1,0,0,0,0.533333333333333,3
7,1,0,0,0,0.4,3
8,1,0,0,0,0.2,3
9,1,0,0,0,0.433333333333333,3
10,1,0,0,0,0.466666666666667,3
11,1,0,0,0,0.6,3
12,1,0,0,0,0.1,3
13,1,0,0,0,0.333333333333333,3
14,1,0,0,0,0.533333333333333,3
15,1,0,0,0,0.933333333333333,3
16,1,0,0,0,0.6,3
17,1,0,0,0,0.533333333333333,3
18,1,0,0,0,0.466666666666667,3
19,1,0,0,0,0.533333333333333,3
20,1,0,0,0,0.1,3
21,1,0,0,0,0.866666666666667,3
22,1,0,0,0,0.466666666666667,3
23,1,0,0,0,0.6,3
24,1,0,0,0,0.1,3
25,1,0,0,0,0.566666666666667,3
26,1,0,0,0,0.733333333333333,3
27,1,0,0,0,0.933333333333333,3
28,1,0,0,0,0.633333333333333,3
29,1,0,0,0,0.3,3
30,1,0,0,0,0.8,3
31,1,0,0,0,0.5,3
32,1,0,0,0,0.366666666666667,3
33,1,0,0,0,0.366666666666667,3
34,1,0,0,0,0.933333333333333,3
35,1,0,0,0,0.466666666666667,3
36,1,0,0,0,0.933333333333333,3
37,1,0,0,0,0.466666666666667,3
38,1,0,0,0,0.733333333333333,3
39,1,0,0,0,0.4,3
40,1,0,0,0,0.1,3
41,1,0,0,0,0.633333333333333,3
42,1,0,0,0,0.733333333333333,3
43,1,0,0,0,0.8,3
44,1,0,0,0,0.566666666666667,3
45,1,0,0,0,0.933333333333333,3
46,1,0,0,0,0.7,3
47,1,0,0,0,0.833333333333333,3
48,1,0,0,0,0.333333333333333,3
49,1,0,0,0,0.5,3
50,1,0,0,0,0.9,3
51,1,0,0,0,0.0333333333333333,3
52,1,0,0,0,0.5,3
53,1,0,0,0,0.433333333333333,3
54,1,0,0,0,0.533333333333333,3
55,1,0,0,0,0.5,3
56,1,0,0,0,0.3,3
57,1,0,0,0,0.6,3
58,1,0,0,0,0.433333333333333,3
59,1,0,0,0,0.933333333333333,3
60,1,0,0,0,0.6,3
61,1,0,0,0,0.766666666666667,3
62,1,0,0,0,0.666666666666667,3
63,1,0,0,0,0.533333333333333,3
64,1,0,0,0,0.433333333333333,3
65,1,0,0,0,0.0333333333333333,3
66,1,0,0,0,0.0666666666666667,3
67,1,0,0,0,0.333333333333333,3
68,1,0,0,0,0.866666666666667,3
69,1,0,0,0,0.566666666666667,3
70,1,0,0,0,1,3
71,1,0,0,0,0.433333333333333,3
72,1,0,0,0,0.8,3
73,1,0,0,0,0.433333333333333,3
74,1,0,0,0,0.633333333333333,3
75,1,0,0,0,0.733333333333333,3
1,1,0,0,0,0.833333333333333,2
2,1,0,0,0,0.966666666666667,2
3,1,0,0,0,0.8,2
4,1,0,0,0,0.566666666666667,2
5,1,0,0,0,0.566666666666667,2
6,1,0,0,0,0.466666666666667,2
7,1,0,0,0,0.333333333333333,2
8,1,0,0,0,0.766666666666667,2
9,1,0,0,0,0.966666666666667,2
10,1,0,0,0,0.6,2
11,1,0,0,0,0.6,2
12,1,0,0,0,0.933333333333333,2
13,1,0,0,0,0.5,2
14,1,0,0,0,0.466666666666667,2
15,1,0,0,0,1,2
16,1,0,0,0,0.766666666666667,2
17,1,0,0,0,0.433333333333333,2
18,1,0,0,0,0.533333333333333,2
19,1,0,0,0,0.466666666666667,2
20,1,0,0,0,0.466666666666667,2
21,1,0,0,0,0.933333333333333,2
22,1,0,0,0,0.666666666666667,2
23,1,0,0,0,0.766666666666667,2
24,1,0,0,0,0.8,2
25,1,0,0,0,0.5,2
26,1,0,0,0,0.966666666666667,2
27,1,0,0,0,0.366666666666667,2
28,1,0,0,0,0.666666666666667,2
29,1,0,0,0,0.866666666666667,2
30,1,0,0,0,0.866666666666667,2
31,1,0,0,0,0.433333333333333,2
32,1,0,0,0,0.466666666666667,2
33,1,0,0,0,0.466666666666667,2
34,1,0,0,0,0.9,2
35,1,0,0,0,0.8,2
36,1,0,0,0,0.933333333333333,2
37,1,0,0,0,0.5,2
38,1,0,0,0,0.6,2
39,1,0,0,0,0.7,2
40,1,0,0,0,1,2
41,1,0,0,0,0.9,2
42,1,0,0,0,0.666666666666667,2
43,1,0,0,0,0.966666666666667,2
44,1,0,0,0,0.5,2
45,1,0,0,0,0.633333333333333,2
46,1,0,0,0,0.766666666666667,2
47,1,0,0,0,0.833333333333333,2
48,1,0,0,0,0.433333333333333,2
49,1,0,0,0,0.533333333333333,2
50,1,0,0,0,0.1,2
51,1,0,0,0,0.9,2
52,1,0,0,0,0.533333333333333,2
53,1,0,0,0,0.7,2
54,1,0,0,0,0.966666666666667,2
55,1,0,0,0,0.9,2
56,1,0,0,0,0.6,2
57,1,0,0,0,0.6,2
58,1,0,0,0,0.766666666666667,2
59,1,0,0,0,0.0666666666666667,2
60,1,0,0,0,0.566666666666667,2
61,1,0,0,0,0.966666666666667,2
62,1,0,0,0,0.533333333333333,2
63,1,0,0,0,0.966666666666667,2
64,1,0,0,0,0.466666666666667,2
65,1,0,0,0,0.933333333333333,2
66,1,0,0,0,0.966666666666667,2
67,1,0,0,0,0.566666666666667,2
68,1,0,0,0,0.766666666666667,2
69,1,0,0,0,0.6,2
70,1,0,0,0,0.6,2
71,1,0,0,0,0.633333333333333,2
72,1,0,0,0,0.6,2
73,1,0,0,0,0.633333333333333,2
74,1,0,0,0,0.6,2
75,1,0,0,0,0.433333333333333,2
1,1,0,0,0,0.966666666666667,1
2,1,0,0,0,0.966666666666667,1
3,1,0,0,0,0.633333333333333,1
4,1,0,0,0,0.633333333333333,1
5,1,0,0,0,0.466666666666667,1
6,1,0,0,0,0.433333333333333,1
7,1,0,0,0,0.866666666666667,1
8,1,0,0,0,0.666666666666667,1
9,1,0,0,0,1,1
10,1,0,0,0,0.533333333333333,1
11,1,0,0,0,0.766666666666667,1
12,1,0,0,0,0,1
13,1,0,0,0,0.5,1
14,1,0,0,0,0.5,1
15,1,0,0,0,0.1,1
16,1,0,0,0,0.966666666666667,1
17,1,0,0,0,0.366666666666667,1
18,1,0,0,0,0.466666666666667,1
19,1,0,0,0,0.666666666666667,1
20,1,0,0,0,0.733333333333333,1
21,1,0,0,0,0.466666666666667,1
22,1,0,0,0,0.5,1
