subject,exp_num,RT,modality
1,5,2130,e
1,5,1733.5,d
1,5,1923.5,EE
2,5,957,e
2,5,1158,d
2,5,1091,EE
3,5,1357,e
3,5,1066.5,d
3,5,1345.5,EE
4,5,1538.5,e
4,5,1414,d
4,5,1397,EE
5,5,1214.5,e
5,5,1341.5,d
5,5,2142.5,EE
6,5,1024,e
6,5,1017,d
6,5,1081.5,EE
7,5,1022,e
7,5,896,d
7,5,749,EE
8,5,1314.5,e
8,5,1394,d
8,5,1736,EE
9,5,2494,e
9,5,2081,d
9,5,2441,EE
10,5,1625.5,e
10,5,1082.5,d
10,5,1374,EE
11,5,1564,e
11,5,1304,d
11,5,1658,EE
12,5,2290,e
12,5,1393,d
12,5,4235.5,EE
13,5,1179,e
13,5,1099,d
13,5,1267.5,EE
14,5,2348,e
14,5,2520,d
14,5,2559,EE
15,5,1232,e
15,5,1147,d
15,5,1680.5,EE
16,5,1628,e
16,5,1503,d
16,5,1620,EE
17,5,1044.5,e
17,5,869.5,d
17,5,1173.5,EE
18,5,857,e
18,5,1941,d
18,5,945,EE
19,5,750.5,e
19,5,613,d
19,5,520,EE
20,5,1374,e
20,5,1160,d
20,5,1654.5,EE
21,5,1579.5,e
21,5,1154.5,d
21,5,1177.5,EE
22,5,1874,e
22,5,1672,d
22,5,1905,EE
23,5,739.5,e
23,5,630,d
23,5,694,EE
24,5,1723,e
24,5,1947,d
24,5,1869,EE
25,5,2073,e
25,5,1958,d
25,5,1837,EE
26,5,1657,e
26,5,1455,d
26,5,1525,EE
27,5,1334,e
27,5,1351,d
27,5,1192.5,EE
28,5,1005,e
28,5,855,d
28,5,533.5,EE
29,5,905,e
29,5,785,d
29,5,1273.5,EE
30,5,2115.5,e
30,5,2085,d
30,5,2265,EE
31,5,1734,e
31,5,2023,d
31,5,2093,EE
32,5,1157.5,e
32,5,1192.5,d
32,5,1898,EE
33,5,1215,e
33,5,1162,d
33,5,1281,EE
34,5,1014,e
34,5,842,d
34,5,756,EE
35,5,1601,e
35,5,1768,d
35,5,1716,EE
36,5,1077.5,e
36,5,1010,d
36,5,1207,EE
37,5,1497,e
37,5,1487,d
37,5,1915.5,EE
38,5,3100.5,e
38,5,2854,d
38,5,2936.5,EE
39,5,1690,e
39,5,1795,d
39,5,2100,EE
40,5,1681,e
40,5,1662,d
40,5,1680.5,EE
41,5,1658,e
41,5,1435,d
41,5,1318,EE
42,5,777,e
42,5,933.5,d
42,5,728,EE
43,5,1564,e
43,5,1316,d
43,5,1472.5,EE
44,5,1468,e
44,5,1322,d
44,5,1768.5,EE
45,5,1180.5,e
45,5,1135.5,d
45,5,1456.5,EE
46,5,2149.5,e
46,5,2406.5,d
46,5,1806,EE
47,5,1110,e
47,5,1125,d
