subject,exp_num,slope,modality
1,1,0.8125,ED
2,1,0.806818181818182,ED
3,1,0.835227272727273,ED
4,1,0.801136363636364,ED
5,1,0.823863636363636,ED
6,1,0.767045454545455,ED
7,1,0.806818181818182,ED
8,1,0.75,ED
9,1,0.715909090909091,ED
10,1,0.857954545454545,ED
11,1,0.8125,ED
12,1,0.840909090909091,ED
13,1,0.835227272727273,ED
14,1,0.801136363636364,ED
15,1,0.880681818181818,ED
16,1,0.903409090909091,ED
17,1,0.829545454545455,ED
18,1,0.806818181818182,ED
19,1,0.869318181818182,ED
20,1,0.835227272727273,ED
21,1,0.8125,ED
22,1,0.818181818181818,ED
23,1,0.897727272727273,ED
24,1,0.852272727272727,ED
25,1,0.795454545454545,ED
26,1,0.897727272727273,ED
27,1,0.892045454545455,ED
28,1,0.9375,ED
29,1,0.715909090909091,ED
30,1,0.835227272727273,ED
31,1,0.818181818181818,ED
32,1,0.926136363636364,ED
33,1,0.909090909090909,ED
34,1,0.806818181818182,ED
35,1,0.954545454545455,ED
36,1,0.892045454545455,ED
37,1,0.903409090909091,ED
38,1,0.863636363636364,ED
39,1,0.857954545454545,ED
40,1,0.744318181818182,ED
41,1,0.8125,ED
42,1,0.835227272727273,ED
43,1,0.8125,ED
44,1,0.909090909090909,ED
45,1,0.863636363636364,ED
46,1,0.818181818181818,ED
47,1,0.8125,ED
48,1,0.863636363636364,ED
49,1,0.897727272727273,ED
50,1,0.971590909090909,ED
51,1,0.863636363636364,ED
52,1,0.920454545454545,ED
53,1,0.8125,ED
54,1,0.892045454545455,ED
55,1,0.948863636363636,ED
56,1,0.880681818181818,ED
57,1,0.857954545454545,ED
58,1,0.795454545454545,ED
59,1,0.943181818181818,ED
60,1,0.806818181818182,ED
61,1,0.971590909090909,ED
62,1,0.875,ED
63,1,0.875,ED
64,1,0.920454545454545,ED
65,1,0.988636363636364,ED
66,1,0.909090909090909,ED
67,1,0.892045454545455,ED
68,2,0.473214285714286,ED
69,2,0.508928571428571,ED
70,2,0.607142857142857,ED
71,2,0.428571428571429,ED
72,2,0.669642857142857,ED
73,2,0.660714285714286,ED
74,2,0.607142857142857,ED
75,2,0.732142857142857,ED
76,2,0.517857142857143,ED
77,2,0.678571428571429,ED
78,2,0.482142857142857,ED
79,2,0.741071428571429,ED
80,2,0.767857142857143,ED
81,2,0.633928571428571,ED
82,2,0.839285714285714,ED
83,2,0.910714285714286,ED
84,2,0.571428571428571,ED
85,2,0.6875,ED
86,2,0.741071428571429,ED
87,2,0.535714285714286,ED
88,2,0.491071428571429,ED
89,2,0.571428571428571,ED
90,2,0.803571428571429,ED
91,2,0.6875,ED
92,2,0.714285714285714,ED
93,2,0.794642857142857,ED
94,2,0.794642857142857,ED
95,2,0.857142857142857,ED
96,2,0.714285714285714,ED
97,2,0.732142857142857,ED
98,2,0.589285714285714,ED
99,2,0.857142857142857,ED
100,2,0.830357142857143,ED
101,2,0.642857142857143,ED
102,2,0.892857142857143,ED
103,2,0.803571428571429,ED
104,2,0.955357142857143,ED
105,2,0.8125,ED
106,2,0.705357142857143,ED
107,2,0.616071428571429,ED
108,2,0.678571428571429,ED
109,2,0.732142857142857,ED
110,2,0.544642857142857,ED
111,2,0.803571428571429,ED
112,2,0.723214285714286,ED
113,2,0.723214285714286,ED
114,2,0.580357142857143,ED
115,2,0.75,ED
116,2,0.803571428571429,ED
117,2,0.9375,ED
118,2,0.732142857142857,ED
119,2,0.875,ED
120,2,0.767857142857143,ED
121,2,0.785714285714286,ED
122,2,0.821428571428571,ED
123,2,0.758928571428571,ED
124,2,0.732142857142857,ED
125,2,0.723214285714286,ED
126,2,0.803571428571429,ED
127,2,0.446428571428571,ED
128,2,0.955357142857143,ED
129,2,0.696428571428571,ED
130,2,0.767857142857143,ED
131,2,0.866071428571429,ED
132,2,0.964285714285714,ED
133,2,0.901785714285714,ED
134,2,0.732142857142857,ED
1,1,0.5,EE
2,1,0.4921875,EE
3,1,0.4765625,EE
4,1,0.5,EE
5,1,0.546875,EE
6,1,0.5,EE
7,1,0.5078125,EE
8,1,0.484375,EE
9,1,0.6796875,EE
10,1,0.6640625,EE
11,1,0.59375,EE
12,1,0.6328125,EE
13,1,0.484375,EE
14,1,0.8203125,EE
15,1,0.734375,EE
16,1,0.53125,EE
17,1,0.5,EE
18,1,0.5859375,EE
19,1,0.515625,EE
20,1,0.5859375,EE
21,1,0.5859375,EE
22,1,0.6875,EE
23,1,0.828125,EE
24,1,0.796875,EE
25,1,0.78125,EE
26,1,0.78125,EE
27,1,0.4609375,EE
28,1,0.6640625,EE
29,1,0.65625,EE
30,1,0.9609375,EE
31,1,0.8203125,EE
32,1,0.921875,EE
33,1,0.5234375,EE
34,1,0.7421875,EE
35,1,0.6328125,EE
36,1,0.53125,EE
37,1,0.671875,EE
38,1,0.3828125,EE
39,1,0.75,EE
40,1,0.546875,EE
41,1,0.796875,EE
