subject,exp_num,RT,modality
1,5,2124.5,e
1,5,1641.5,d
1,5,1923.5,EE
2,5,1013,e
2,5,1152,d
2,5,1091,EE
3,5,1378,e
3,5,1075,d
3,5,1345.5,EE
4,5,1467,e
4,5,1414,d
4,5,1397,EE
5,5,1181,e
5,5,1202.5,d
5,5,2142.5,EE
6,5,1068,e
6,5,974.5,d
6,5,1081.5,EE
7,5,946,e
7,5,901,d
7,5,749,EE
8,5,1345.5,e
8,5,1447.5,d
8,5,1736,EE
9,5,2489,e
9,5,2071,d
9,5,2441,EE
10,5,1581,e
10,5,1071,d
10,5,1374,EE
11,5,1476,e
11,5,1308,d
11,5,1658,EE
12,5,2205,e
12,5,1445,d
12,5,4235.5,EE
13,5,1156,e
13,5,1050,d
13,5,1267.5,EE
14,5,2161,e
14,5,2564,d
14,5,2559,EE
15,5,1284,e
15,5,1261,d
15,5,1680.5,EE
16,5,1628,e
16,5,1439,d
16,5,1620,EE
17,5,1112,e
17,5,850.5,d
17,5,1173.5,EE
18,5,852,e
18,5,1257,d
18,5,945,EE
19,5,745,e
19,5,631,d
19,5,520,EE
20,5,1375.5,e
20,5,1167,d
20,5,1654.5,EE
21,5,1450,e
21,5,1155,d
21,5,1177.5,EE
22,5,1871,e
22,5,1670,d
22,5,1905,EE
23,5,737,e
23,5,610.5,d
23,5,694,EE
24,5,1676,e
24,5,1815.5,d
24,5,1869,EE
25,5,2037,e
25,5,1906,d
25,5,1837,EE
26,5,1624,e
26,5,1441,d
26,5,1525,EE
27,5,1334,e
27,5,1293,d
27,5,1192.5,EE
28,5,942.5,e
28,5,709.5,d
28,5,533.5,EE
29,5,906,e
29,5,793,d
29,5,1273.5,EE
30,5,2115.5,e
30,5,2106.5,d
30,5,2265,EE
31,5,1837,e
31,5,1714.5,d
31,5,2093,EE
32,5,1159.5,e
32,5,1177,d
32,5,1898,EE
33,5,1203,e
33,5,1208,d
33,5,1281,EE
34,5,997.5,e
34,5,870,d
34,5,756,EE
35,5,1605,e
35,5,1693,d
35,5,1716,EE
36,5,1136,e
36,5,1058.5,d
36,5,1207,EE
37,5,1508,e
37,5,1541.5,d
37,5,1915.5,EE
38,5,3098,e
38,5,2773,d
38,5,2936.5,EE
39,5,1762,e
39,5,1803.5,d
39,5,2100,EE
40,5,1683,e
40,5,1574,d
40,5,1680.5,EE
41,5,1646,e
41,5,1347,d
41,5,1318,EE
42,5,777,e
42,5,835.5,d
42,5,728,EE
43,5,1564,e
43,5,1260,d
43,5,1472.5,EE
44,5,1460.5,e
44,5,1327.5,d
44,5,1768.5,EE
45,5,1099,e
45,5,1029,d
45,5,1456.5,EE
46,5,2060.5,e
46,5,2265.5,d
46,5,1806,EE
47,5,1083.5,e
47,5,1182,d
47,5,1043.5,EE
48,5,1391.5,e
48,5,1179.5,d
48,5,1655,EE
49,5,1140.5,e
49,5,1438,d
49,5,1835.5,EE
50,5,1753,e
50,5,1701.5,d
50,5,2438,EE
51,5,1550,e
51,5,1171,d
51,5,1121,EE
52,5,2320,e
52,5,2354.5,d
52,5,2434.5,EE
53,5,1177,e
53,5,1375,d
53,5,1421.5,EE
54,5,1605,e
54,5,1509,d
54,5,1548,EE
55,5,1124,e
55,5,952,d
55,5,1126,EE
56,5,1129,e
56,5,1235,d
56,5,1605.5,EE
57,5,2645,e
57,5,2353,d
57,5,2923.5,EE
58,5,1806,e
58,5,1677.5,d
58,5,2022.5,EE
59,5,1032,e
59,5,1004,d
59,5,976,EE
60,5,1993.5,e
60,5,1989,d
60,5,1862.5,EE
61,5,1142,e
61,5,1274,d
61,5,1026,EE
62,5,1365.5,e
62,5,1495.5,d
62,5,1333.5,EE
63,5,1221,e
63,5,1310,d
63,5,1581,EE
64,5,1656,e
64,5,1581,d
64,5,1764.5,EE
65,5,1403,e
65,5,1327,d
65,5,1721,EE
66,5,1322,e
66,5,1110,d
66,5,1031,EE
67,5,2448,e
67,5,2474,d
67,5,2726.5,EE
68,5,1549,e
68,5,2082,d
68,5,4056,EE
69,5,1918,e
69,5,1757,d
69,5,2042,EE
70,5,1603.5,e
70,5,1351.5,d
70,5,1497.5,EE
71,5,1957.5,e
71,5,2410.5,d
71,5,2332,EE
72,6,1420,e
72,6,1247,d
72,6,1473.5,EE
73,6,1473.5,e
73,6,1420.5,d
73,6,1520,EE
74,6,1217,e
74,6,1020,d
74,6,1395,EE
75,6,1220,e
75,6,1167,d
75,6,1443,EE
76,6,815.5,e
76,6,757,d
76,6,787.5,EE
77,6,989.5,e
77,6,939,d
77,6,1065.5,EE
78,6,1231,e
78,6,1098,d
78,6,1204,EE
79,6,1273.5,e
79,6,1193,d
79,6,1446,EE
80,6,1351,e
80,6,1183,d
80,6,1283.5,EE
81,6,1983.5,e
81,6,1979.5,d
81,6,3765,EE
82,6,1730,e
82,6,1716,d
82,6,1865.5,EE
83,6,1274,e
83,6,1292,d
83,6,1546.5,EE
84,6,815.5,e
84,6,902.5,d
84,6,941.5,EE
85,6,1442,e
85,6,1448,d
85,6,1579.5,EE
86,6,1116,e
86,6,1096,d
86,6,994.5,EE
87,6,3200.5,e
87,6,3312,d
87,6,4553,EE
88,6,1483,e
88,6,1640,d
88,6,1529,EE
89,6,2275.5,e
89,6,1941.5,d
89,6,2056.5,EE
90,6,1369,e
90,6,1295,d
90,6,1618,EE
91,6,1198,e
91,6,1016,d
91,6,1253.5,EE
92,6,1148.5,e
92,6,1029,d
92,6,1134,EE
93,6,1170.5,e
93,6,1135,d
93,6,1163,EE
94,6,2137,e
94,6,2247,d
94,6,2949.5,EE
95,6,850,e
95,6,822,d
95,6,718,EE
96,6,1448,e
96,6,1562,d
96,6,1591,EE
97,6,1810.5,e
97,6,1710,d
97,6,1774.5,EE
98,6,1029,e
98,6,1040,d
98,6,1193.5,EE
99,6,1215,e
99,6,1185.5,d
99,6,1354.5,EE
100,6,913,e
100,6,893,d
100,6,685,EE
101,6,1265,e
101,6,1086,d
101,6,1293.5,EE
102,6,1141,e
102,6,1207,d
102,6,1346,EE
103,6,1161,e
103,6,1272.5,d
103,6,1352.5,EE
104,6,2211,e
104,6,1963,d
104,6,2149,EE
105,6,878,e
105,6,894,d
105,6,943,EE
106,6,1044,e
106,6,999,d
106,6,1141.5,EE
107,6,1260.5,e
107,6,1286.5,d
107,6,1370.5,EE
108,6,1825,e
108,6,1605,d
108,6,1750,EE
109,6,1501,e
109,6,1350,d
109,6,1518,EE
110,6,1775,e
110,6,1738,d
110,6,1904.5,EE
111,6,1380,e
111,6,1250.5,d
111,6,1928.5,EE
112,6,2692,e
112,6,2642,d
112,6,2614,EE
113,6,983,e
113,6,820,d
113,6,1036.5,EE
114,6,2207,e
114,6,2217,d
114,6,2896.5,EE
115,6,1414,e
115,6,1361,d
115,6,2004.5,EE
116,6,1210,e
116,6,1330,d
116,6,1203.5,EE
117,6,2287.5,e
117,6,2185,d
117,6,2403,EE
118,6,857,e
118,6,666,d
118,6,808,EE
119,6,1095,e
119,6,1135,d
119,6,1132.5,EE
120,6,1772,e
120,6,1886,d
120,6,1914,EE
121,6,1344,e
121,6,1319,d
121,6,1509.5,EE
122,6,1792,e
122,6,1674,d
122,6,1662.5,EE
123,6,1193,e
123,6,1024,d
123,6,1132,EE
124,6,1103.5,e
124,6,993.5,d
124,6,1196.5,EE
125,6,1397.5,e
125,6,1366,d
125,6,1457.5,EE
126,6,1022,e
126,6,808.5,d
126,6,801,EE
127,6,1446,e
127,6,1250.5,d
127,6,1560.5,EE
128,6,1545.5,e
128,6,1404.5,d
128,6,1542.5,EE
129,6,2161,e
129,6,1798,d
129,6,2002.5,EE
130,6,1012,e
130,6,809,d
130,6,667.5,EE
131,6,745,e
131,6,775,d
131,6,697.5,EE
132,6,1097,e
132,6,1124.5,d
132,6,837.5,EE
133,6,942,e
133,6,988,d
133,6,1104.5,EE
134,6,1355,e
134,6,1243,d
134,6,1274.5,EE
135,6,1282,e
135,6,1216,d
135,6,1512.5,EE
136,6,1372,e
136,6,1282,d
136,6,1397.5,EE
137,6,1036,e
137,6,976,d
137,6,793.5,EE
138,6,1199.5,e
138,6,1167,d
138,6,1346,EE
