subject,exp_num,RT,p,modality
1,5,2105,0,ED_d
1,5,1830,0.1,ED_d
1,5,2204,0.2,ED_d
1,5,2218.5,0.3,ED_d
1,5,1749.5,0.4,ED_d
1,5,1815,0.5,ED_d
1,5,2766.5,0.6,ED_d
1,5,1666,0.7,ED_d
1,5,1523.5,0.8,ED_d
1,5,1887,0.9,ED_d
1,5,1285.5,1,ED_d
1,5,1838,0.1,ED_e
1,5,1474.5,0.1,EE
1,5,1733,0.2,ED_e
1,5,1542,0.2,EE
1,5,1755,0.3,ED_e
1,5,2006,0.3,EE
1,5,1340,0.4,ED_e
1,5,689.5,0.4,EE
1,5,1685,0.6,ED_e
1,5,2099,0.6,EE
1,5,1820,0.7,ED_e
1,5,1996,0.7,EE
1,5,2263,0.8,ED_e
1,5,1962,0.8,EE
1,5,2727,0.9,ED_e
1,5,1932,0.9,EE
2,5,1609.5,0,ED_d
2,5,1133.5,0.1,ED_d
2,5,1133.5,0.2,ED_d
2,5,1082.5,0.3,ED_d
2,5,1256.5,0.4,ED_d
2,5,1202,0.5,ED_d
2,5,1049,0.6,ED_d
2,5,1427,0.7,ED_d
2,5,1035.5,0.8,ED_d
2,5,969.5,0.9,ED_d
2,5,1034.5,1,ED_d
2,5,2080,0.1,ED_e
2,5,3309.5,0.1,EE
2,5,1165,0.2,ED_e
2,5,1731,0.2,EE
2,5,1133,0.3,ED_e
2,5,2327,0.3,EE
2,5,1125,0.4,ED_e
2,5,1933.5,0.4,EE
2,5,1959,0.6,ED_e
2,5,2546.5,0.6,EE
2,5,868,0.7,ED_e
2,5,1219,0.7,EE
2,5,906,0.8,ED_e
2,5,888,0.8,EE
2,5,801,0.9,ED_e
2,5,778.5,0.9,EE
3,5,1274,0,ED_d
3,5,1238.5,0.1,ED_d
3,5,1269,0.2,ED_d
3,5,1346.5,0.3,ED_d
3,5,1471.5,0.4,ED_d
3,5,1349,0.5,ED_d
3,5,1119.5,0.6,ED_d
3,5,956.5,0.7,ED_d
3,5,1138.5,0.8,ED_d
3,5,1083,0.9,ED_d
3,5,1018.5,1,ED_d
3,5,2206,0.1,ED_e
3,5,1918,0.1,EE
3,5,1170,0.2,ED_e
3,5,993,0.2,EE
3,5,1223,0.3,ED_e
3,5,2274,0.3,EE
3,5,1236,0.4,ED_e
3,5,1098,0.4,EE
3,5,960,0.6,ED_e
3,5,NaN,0.6,EE
3,5,1114,0.7,ED_e
3,5,1324,0.7,EE
3,5,1141,0.8,ED_e
3,5,1485,0.8,EE
3,5,1432,0.9,ED_e
3,5,1232,0.9,EE
4,5,1271.5,0,ED_d
4,5,1453,0.1,ED_d
4,5,1591,0.2,ED_d
4,5,2066.5,0.3,ED_d
4,5,1909,0.4,ED_d
4,5,1821,0.5,ED_d
4,5,1452,0.6,ED_d
4,5,1471.5,0.7,ED_d
4,5,1363,0.8,ED_d
4,5,1131,0.9,ED_d
4,5,1104,1,ED_d
4,5,1437,0.1,ED_e
4,5,2147.5,0.1,EE
4,5,1588,0.2,ED_e
4,5,NaN,0.2,EE
4,5,1317,0.3,ED_e
4,5,1465,0.3,EE
4,5,1401,0.4,ED_e
4,5,1499,0.4,EE
4,5,1303,0.6,ED_e
4,5,1354.5,0.6,EE
4,5,1403,0.7,ED_e
4,5,2227,0.7,EE
4,5,1443,0.8,ED_e
4,5,1323,0.8,EE
4,5,1546,0.9,ED_e
4,5,1379,0.9,EE
5,5,914.5,0,ED_d
5,5,1783.5,0.1,ED_d
5,5,1066.5,0.2,ED_d
5,5,1408,0.3,ED_d
5,5,1543,0.4,ED_d
5,5,1415.5,0.5,ED_d
5,5,1185.5,0.6,ED_d
5,5,988.5,0.7,ED_d
5,5,1178.5,0.8,ED_d
5,5,1029.5,0.9,ED_d
5,5,935,1,ED_d
5,5,1720,0.1,ED_e
5,5,NaN,0.1,EE
5,5,1282,0.2,ED_e
5,5,3399.5,0.2,EE
5,5,864,0.3,ED_e
5,5,6184.5,0.3,EE
5,5,939,0.4,ED_e
5,5,2385.5,0.4,EE
5,5,1053,0.6,ED_e
5,5,1132,0.6,EE
5,5,999,0.7,ED_e
5,5,1363,0.7,EE
5,5,1416,0.8,ED_e
5,5,2301.5,0.8,EE
5,5,2597,0.9,ED_e
5,5,2914,0.9,EE
6,5,1084.5,0,ED_d
6,5,1100,0.1,ED_d
6,5,1045,0.2,ED_d
6,5,1001.5,0.3,ED_d
6,5,1016.5,0.4,ED_d
6,5,1165.5,0.5,ED_d
6,5,1252,0.6,ED_d
6,5,1032,0.7,ED_d
6,5,1073.5,0.8,ED_d
6,5,945,0.9,ED_d
6,5,886,1,ED_d
6,5,1024,0.1,ED_e
6,5,1149,0.1,EE
6,5,1019,0.2,ED_e
6,5,1223,0.2,EE
6,5,1005,0.3,ED_e
6,5,1448,0.3,EE
6,5,986,0.4,ED_e
6,5,1156.5,0.4,EE
6,5,1042,0.6,ED_e
6,5,1084,0.6,EE
6,5,1060,0.7,ED_e
6,5,NaN,0.7,EE
6,5,906,0.8,ED_e
6,5,988,0.8,EE
6,5,1128,0.9,ED_e
6,5,1016,0.9,EE
7,5,853.5,0,ED_d
7,5,1018,0.1,ED_d
7,5,980.5,0.2,ED_d
7,5,1105,0.3,ED_d
7,5,991,0.4,ED_d
7,5,1029.5,0.5,ED_d
7,5,1019.5,0.6,ED_d
7,5,764,0.7,ED_d
7,5,823,0.8,ED_d
7,5,907.5,0.9,ED_d
7,5,792.5,1,ED_d
7,5,790,0.1,ED_e
7,5,734,0.1,EE
7,5,919,0.2,ED_e
7,5,753,0.2,EE
7,5,797,0.3,ED_e
7,5,830,0.3,EE
7,5,933,0.4,ED_e
7,5,812,0.4,EE
7,5,904,0.6,ED_e
7,5,741,0.6,EE
7,5,803,0.7,ED_e
7,5,739,0.7,EE
7,5,1003,0.8,ED_e
7,5,720,0.8,EE
7,5,1083,0.9,ED_e
7,5,810.5,0.9,EE
8,5,1497.5,0,ED_d
8,5,1206,0.1,ED_d
8,5,1345.5,0.2,ED_d
8,5,2138.5,0.3,ED_d
8,5,1500.5,0.4,ED_d
8,5,1454.5,0.5,ED_d
8,5,1482,0.6,ED_d
8,5,1496.5,0.7,ED_d
8,5,905.5,0.8,ED_d
8,5,973,0.9,ED_d
8,5,2636.5,1,ED_d
8,5,1126,0.1,ED_e
8,5,905,0.1,EE
8,5,1294,0.2,ED_e
8,5,2167.5,0.2,EE
8,5,1295,0.3,ED_e
8,5,1610,0.3,EE
8,5,2228,0.4,ED_e
8,5,1249.5,0.4,EE
8,5,2565,0.6,ED_e
8,5,2038,0.6,EE
8,5,1335,0.7,ED_e
8,5,1991,0.7,EE
8,5,2144,0.8,ED_e
8,5,3473.5,0.8,EE
8,5,1381,0.9,ED_e
8,5,1914,0.9,EE
9,5,2205,0,ED_d
9,5,2668,0.1,ED_d
9,5,2222,0.2,ED_d
9,5,2515,0.3,ED_d
