subject,exp_num,RT,modality
1,5,2799,heur
1,5,NaN,le
1,5,3100.5,both
1,5,8264,none
2,5,1454.5,heur
2,5,NaN,le
2,5,1355,both
2,5,1815,none
3,5,603,heur
3,5,755.5,le
3,5,903,both
3,5,491.5,none
4,5,2389.5,heur
4,5,NaN,le
4,5,2198,both
4,5,3263,none
5,5,988,heur
5,5,975,le
5,5,902,both
5,5,961,none
6,5,679,heur
6,5,558,le
6,5,710,both
6,5,571.5,none
7,5,1319,heur
7,5,1640,le
7,5,1337,both
7,5,757,none
8,5,1118,heur
8,5,1153,le
8,5,1005,both
8,5,1239,none
9,5,982.5,heur
9,5,1043,le
9,5,909,both
9,5,1065,none
10,5,1264.5,heur
10,5,1325.5,le
10,5,1194,both
10,5,1718,none
11,5,1771,heur
11,5,1164,le
11,5,1597.5,both
11,5,NaN,none
12,5,1308,heur
12,5,2408.5,le
12,5,1181.5,both
12,5,2225,none
13,5,1080,heur
13,5,1035,le
13,5,779,both
13,5,769,none
14,5,1607,heur
14,5,2394,le
14,5,1812,both
14,5,2120,none
15,5,1676,heur
15,5,NaN,le
15,5,1953,both
15,5,NaN,none
16,5,1821,heur
16,5,1798,le
16,5,1397.5,both
16,5,2211,none
17,5,1310,heur
17,5,1081.5,le
17,5,1244,both
17,5,1664,none
18,5,1598,heur
18,5,2376,le
18,5,1453,both
18,5,1941,none
19,5,1546,heur
19,5,1301,le
19,5,1291.5,both
19,5,1792,none
20,5,2468,heur
20,5,1678,le
20,5,1664,both
20,5,1961,none
21,5,2324,heur
21,5,3352,le
21,5,2096,both
21,5,1493.5,none
22,5,1771,heur
22,5,1258,le
22,5,1127,both
22,5,1744,none
23,5,1427,heur
23,5,3044,le
23,5,1370,both
23,5,1964,none
24,5,1819,heur
24,5,1675,le
24,5,1659,both
24,5,3362.5,none
25,5,930,heur
25,5,1005,le
25,5,1103,both
25,5,1521,none
26,5,3000,heur
26,5,2609.5,le
26,5,2054.5,both
26,5,4822.5,none
27,5,1406,heur
27,5,1937.5,le
27,5,1020,both
27,5,1864,none
28,5,1644,heur
28,5,1869.5,le
28,5,1492,both
28,5,1475,none
29,5,1061,heur
29,5,1216,le
29,5,1233,both
29,5,1191,none
30,5,2887,heur
30,5,1348,le
30,5,1022.5,both
30,5,1374,none
31,5,1671,heur
31,5,834,le
31,5,882.5,both
31,5,799,none
32,5,883.5,heur
32,5,1404,le
32,5,842,both
32,5,1047,none
33,5,1273.5,heur
33,5,1992,le
33,5,1266,both
33,5,2428.5,none
34,5,2553,heur
34,5,4530,le
34,5,2247,both
34,5,3902,none
35,5,1733,heur
35,5,2963,le
35,5,2526.5,both
35,5,2532,none
36,5,1601,heur
36,5,1305,le
36,5,1450,both
36,5,1344,none
37,5,1828,heur
37,5,2754,le
37,5,1820,both
37,5,2200,none
