subject,exp_num,slope,modality
1,1,524.383333333333,LE
2,1,1226.25833333333,LE
3,1,593.8,LE
4,1,1120.28333333333,LE
5,1,1106.65833333333,LE
6,1,2229.01666666667,LE
7,1,559.716666666667,LE
8,1,1714.95,LE
9,1,820.508333333333,LE
10,1,1080.74166666667,LE
11,1,1666.65833333333,LE
12,1,3442.35,LE
13,1,1616.00833333333,LE
14,1,869.8,LE
15,1,733.933333333333,LE
16,1,828.333333333333,LE
17,1,1444.16666666667,LE
18,1,860.641666666667,LE
19,1,757.116666666667,LE
20,1,2635.06666666667,LE
21,1,1125.3,LE
22,1,1076.925,LE
23,1,788.466666666667,LE
24,1,912.725,LE
25,1,869.075,LE
26,1,691.558333333333,LE
27,1,815.341666666667,LE
28,1,817.05,LE
29,1,1787.30833333333,LE
30,1,1119.25,LE
31,1,557.275,LE
32,1,1328.825,LE
33,1,624.208333333333,LE
34,1,1640.21666666667,LE
35,1,1462.16666666667,LE
36,1,511.908333333333,LE
37,1,1254.71666666667,LE
38,1,1554.73333333333,LE
39,1,904.55,LE
40,1,3525.525,LE
41,1,666.025,LE
42,1,797.691666666667,LE
43,1,716.616666666667,LE
44,1,990.725,LE
45,1,641.908333333333,LE
46,1,1706.64166666667,LE
47,1,854.05,LE
48,1,961.9,LE
49,1,1321.26666666667,LE
50,1,2401.74166666667,LE
51,1,639.283333333333,LE
52,1,4189.08333333333,LE
53,1,1940.93333333333,LE
54,1,1459.19166666667,LE
55,1,824.641666666667,LE
56,1,2988.8,LE
57,1,1250.80833333333,LE
58,1,1308.30833333333,LE
59,1,830.225,LE
60,1,817.966666666667,LE
61,1,4398.64166666667,LE
62,1,1053.05833333333,LE
63,1,846.875,LE
64,1,841.275,LE
65,1,4858.73333333333,LE
66,1,993.616666666667,LE
67,1,1239.725,LE
1,1,1122.46590909091,ED
2,1,2567.84090909091,ED
3,1,961.613636363636,ED
4,1,960.556818181818,ED
5,1,1087.76136363636,ED
6,1,2713.30681818182,ED
7,1,937.534090909091,ED
8,1,3554.82954545455,ED
9,1,1172.57954545455,ED
10,1,1659.64772727273,ED
11,1,1896.10227272727,ED
12,1,3329.29545454545,ED
13,1,1312.84090909091,ED
14,1,954.477272727273,ED
15,1,1073,ED
16,1,1589.69318181818,ED
17,1,1475.07954545455,ED
18,1,1685.13636363636,ED
19,1,1855.67045454545,ED
20,1,2886.76136363636,ED
21,1,1290.80681818182,ED
22,1,1365.59090909091,ED
23,1,1288.80681818182,ED
24,1,1478.10227272727,ED
25,1,1217.46590909091,ED
26,1,1335.46590909091,ED
27,1,1213.43181818182,ED
28,1,1432.375,ED
29,1,2438.125,ED
30,1,2607.01136363636,ED
31,1,882.931818181818,ED
32,1,1472.19318181818,ED
33,1,1770.77272727273,ED
34,1,1294.28409090909,ED
35,1,1765.375,ED
36,1,849.875,ED
37,1,1638.42045454545,ED
38,1,2250.98863636364,ED
39,1,1273.44318181818,ED
40,1,2636.07954545455,ED
41,1,1256.25,ED
42,1,1489.25,ED
43,1,952.056818181818,ED
44,1,2430.34090909091,ED
45,1,1625.86363636364,ED
46,1,2487.96590909091,ED
47,1,1331.31818181818,ED
48,1,1392.57954545455,ED
