subject,exp_num,score,modality
1,1,0.0454545454545455,HE
1,1,0.0681818181818182,LE
1,1,0.840909090909091,NO
1,1,0.0454545454545455,BO
2,1,0.170454545454545,HE
2,1,0.0568181818181818,LE
2,1,0.693181818181818,NO
2,1,0.0795454545454545,BO
3,1,0.0454545454545455,HE
3,1,0.0454545454545455,LE
3,1,0.795454545454545,NO
3,1,0.113636363636364,BO
4,1,0.352272727272727,HE
4,1,0.0227272727272727,LE
4,1,0.625,NO
4,1,0,BO
5,1,0.352272727272727,HE
5,1,0.0454545454545455,LE
5,1,0.579545454545455,NO
5,1,0.0227272727272727,BO
6,1,0.340909090909091,HE
6,1,0.0681818181818182,LE
6,1,0.5,NO
6,1,0.0909090909090909,BO
7,1,0.375,HE
7,1,0.0113636363636364,LE
7,1,0.568181818181818,NO
7,1,0.0454545454545455,BO
8,1,0.159090909090909,HE
8,1,0.0227272727272727,LE
8,1,0.795454545454545,NO
8,1,0.0227272727272727,BO
9,1,0.363636363636364,HE
9,1,0,LE
9,1,0.625,NO
9,1,0.0113636363636364,BO
10,1,0.0113636363636364,HE
10,1,0.0340909090909091,LE
10,1,0.943181818181818,NO
10,1,0.0113636363636364,BO
11,1,0.0795454545454545,HE
11,1,0.0227272727272727,LE
11,1,0.784090909090909,NO
11,1,0.113636363636364,BO
12,1,0.0113636363636364,HE
12,1,0.0227272727272727,LE
12,1,0.920454545454545,NO
12,1,0.0454545454545455,BO
13,1,0.0340909090909091,HE
13,1,0,LE
13,1,0.886363636363636,NO
13,1,0.0795454545454545,BO
14,1,0.0227272727272727,HE
14,1,0.0340909090909091,LE
14,1,0.477272727272727,NO
14,1,0.465909090909091,BO
15,1,0.0454545454545455,HE
15,1,0.125,LE
15,1,0.715909090909091,NO
15,1,0.113636363636364,BO
16,1,0.0340909090909091,HE
16,1,0.0795454545454545,LE
16,1,0.806818181818182,NO
16,1,0.0795454545454545,BO
17,1,0.0454545454545455,HE
17,1,0,LE
17,1,0.943181818181818,NO
17,1,0.0113636363636364,BO
18,1,0.0340909090909091,HE
18,1,0.0113636363636364,LE
