app,session,session_is_demo,p1.is_bot,p1.participant_code,p1.prolific_id,p1.id_in_session,p1.id_in_group,p1.multiplier,p1.disclose,p1.contribution,p1.rt1,p1.rt2,p1.payoff,p2.is_bot,p2.participant_code,p2.prolific_id,p2.id_in_session,p2.id_in_group,p2.multiplier,p2.disclose,p2.contribution,p2.rt1,p2.rt2,p2.payoff,round_number,individual_share,total_contribution,group_id
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,2947,2740,11.6,0,v3a94mxi,Bob5,7,2,0.8,0,6,3008,2586,7.6,1,3.6,7.200000000000001,92
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,0,1,14062,8074,14.4,0,0i4dnn8x,Bob7,4,2,1.2,1,8,2638,2806,7.4,1,5.4,10.799999999999999,93
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,0,2,2634,2408,12.2,0,6u8m0rgu,Bob4,8,2,1.2,0,5,2187,2527,9.2,1,4.2,8.4,94
step1,8exfcilr,0,0,ysizzpta,Bob9,10,1,0.8,1,10,2427,2173,6.8,0,qtka7zku,Bob6,5,2,0.8,1,7,2074,2307,9.8,1,6.8,13.600000000000001,95
step1,8exfcilr,0,0,tqz4t4bh,Bob8,6,1,0.8,1,9,2528,2184,5.8,0,qxm1e89g,Bob2,12,2,0.8,0,3,2743,2871,11.8,1,4.8,9.600000000000001,96
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,0,5,14089,-1,9.6,0,4mb2hcq0,Bob3,9,2,0.8,0,4,2190,3308,10.6,1,4.6,9.2,91
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,2944,2624,9.8,1,04tazhwu,Bob0,2,2,1.2,0,1,8091,8088,10.8,2,1.8,3.5999999999999996,100
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,0,5,-1,-1,9.2,0,5ywkkuyt,Bob11,3,2,1.2,0,2,3159,2941,12.2,2,4.2,8.4,99
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,1,8,2668,2503,9.2,0,v3a94mxi,Bob5,7,2,0.8,1,6,3133,2843,11.2,2,7.2,14.4,97
step1,8exfcilr,0,0,qtka7zku,Bob6,5,1,0.8,1,7,2602,2958,9.8,0,ysizzpta,Bob9,10,2,0.8,1,10,2745,2641,6.8,2,6.8,13.600000000000001,101
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,2994,2818,11.6,0,tqz4t4bh,Bob8,6,2,0.8,1,9,3093,2744,7.6,2,6.6,13.2,98
step1,8exfcilr,0,0,qxm1e89g,Bob2,12,1,0.8,0,3,2958,2927,9.8,0,4mb2hcq0,Bob3,9,2,0.8,0,4,2367,2407,8.8,2,2.8,5.6000000000000005,102
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,2561,2650,9.2,0,zym8ramf,Bob1,1,2,1.2,0,2,2539,2175,12.2,3,4.2,8.4,105
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,0,6,-1,-1,12.4,0,0i4dnn8x,Bob7,4,2,1.2,1,8,2629,3139,10.4,3,8.4,16.799999999999997,106
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,0,2,3031,2297,11.6,0,v3a94mxi,Bob5,7,2,0.8,0,6,2898,2894,7.6,3,3.6,7.200000000000001,103
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,0,6,-1,-1,10.4,0,qtka7zku,Bob6,5,2,0.8,1,7,2431,2478,9.4,3,6.4,12.8,104
step1,8exfcilr,0,0,tqz4t4bh,Bob8,6,1,0.8,0,9,2414,2992,6.2,0,4mb2hcq0,Bob3,9,2,0.8,0,4,2337,2287,11.2,3,5.2,10.4,107
step1,8exfcilr,0,0,ysizzpta,Bob9,10,1,0.8,1,10,2234,2963,5.2,0,qxm1e89g,Bob2,12,2,0.8,0,3,3011,2958,12.2,3,5.2,10.4,108
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,3073,2086,10.4,0,qxm1e89g,Bob2,12,2,0.8,0,3,2776,2742,9.4,4,2.4,4.800000000000001,109
